Hduj_gnl_WGS_MTYJ_mrna.BV898_00102.1	Hduj_1_102
Hduj_gnl_WGS_MTYJ_mrna.BV898_00103.1	Hduj_1_103
Hduj_gnl_WGS_MTYJ_mrna.BV898_00104.1	Hduj_1_104
Hduj_gnl_WGS_MTYJ_mrna.BV898_00105.1	Hduj_1_105
Hduj_gnl_WGS_MTYJ_mrna.BV898_00106.1	Hduj_1_106
Hduj_gnl_WGS_MTYJ_mrna.BV898_00107.1	Hduj_1_107
Hduj_gnl_WGS_MTYJ_mrna.BV898_00108.1	Hduj_1_108
Hduj_gnl_WGS_MTYJ_mrna.BV898_00109.1	Hduj_1_109
Hduj_gnl_WGS_MTYJ_mrna.BV898_00110.1	Hduj_1_110
Hduj_gnl_WGS_MTYJ_mrna.BV898_00111.1	Hduj_1_111
Hduj_gnl_WGS_MTYJ_mrna.BV898_00112.1	Hduj_1_112
Hduj_gnl_WGS_MTYJ_mrna.BV898_00113.2	Hduj_1_113
Hduj_gnl_WGS_MTYJ_mrna.BV898_00114.1	Hduj_1_114
Hduj_gnl_WGS_MTYJ_mrna.BV898_00115.1	Hduj_1_115
Hduj_gnl_WGS_MTYJ_mrna.BV898_00116.1	Hduj_1_116
Hduj_gnl_WGS_MTYJ_mrna.BV898_00117.1	Hduj_1_117
Hduj_gnl_WGS_MTYJ_mrna.BV898_00118.1	Hduj_1_118
Hduj_gnl_WGS_MTYJ_mrna.BV898_00119.1	Hduj_1_119
Hduj_gnl_WGS_MTYJ_mrna.BV898_00120.1	Hduj_1_120
Hduj_gnl_WGS_MTYJ_mrna.BV898_00121.1	Hduj_1_121
Hduj_gnl_WGS_MTYJ_mrna.BV898_00122.1	Hduj_1_122
Hduj_gnl_WGS_MTYJ_mrna.BV898_00123.1	Hduj_1_123
Hduj_gnl_WGS_MTYJ_mrna.BV898_00124.1	Hduj_1_124
Hduj_gnl_WGS_MTYJ_mrna.BV898_00125.1	Hduj_1_125
Hduj_gnl_WGS_MTYJ_mrna.BV898_00126.1	Hduj_1_126
Hduj_gnl_WGS_MTYJ_mrna.BV898_00127.1	Hduj_1_127
Hduj_gnl_WGS_MTYJ_mrna.BV898_00128.1	Hduj_1_128
Hduj_gnl_WGS_MTYJ_mrna.BV898_00129.1	Hduj_1_129
Hduj_gnl_WGS_MTYJ_mrna.BV898_00130.1	Hduj_1_130
Hduj_gnl_WGS_MTYJ_mrna.BV898_00131.2	Hduj_1_131
Hduj_gnl_WGS_MTYJ_mrna.BV898_00132.1	Hduj_1_132
Hduj_gnl_WGS_MTYJ_mrna.BV898_00133.1	Hduj_1_133
Hduj_gnl_WGS_MTYJ_mrna.BV898_00134.1	Hduj_1_134
Hduj_gnl_WGS_MTYJ_mrna.BV898_00135.1	Hduj_1_135
Hduj_gnl_WGS_MTYJ_mrna.BV898_00136.2	Hduj_1_136
Hduj_gnl_WGS_MTYJ_mrna.BV898_00137.1	Hduj_1_137
Hduj_gnl_WGS_MTYJ_mrna.BV898_00138.1	Hduj_1_138
Hduj_gnl_WGS_MTYJ_mrna.BV898_00139.2	Hduj_1_139
Hduj_gnl_WGS_MTYJ_mrna.BV898_00140.1	Hduj_1_140
Hduj_gnl_WGS_MTYJ_mrna.BV898_00141.1	Hduj_1_141
Hduj_gnl_WGS_MTYJ_mrna.BV898_00142.1	Hduj_1_142
Hduj_gnl_WGS_MTYJ_mrna.BV898_00143.1	Hduj_1_143
Hduj_gnl_WGS_MTYJ_mrna.BV898_00144.1	Hduj_1_144
Hduj_gnl_WGS_MTYJ_mrna.BV898_00145.1	Hduj_1_145
Hduj_gnl_WGS_MTYJ_mrna.BV898_00146.2	Hduj_1_146
Hduj_gnl_WGS_MTYJ_mrna.BV898_00147.1	Hduj_1_147
Hduj_gnl_WGS_MTYJ_mrna.BV898_00148.1	Hduj_1_148
Hduj_gnl_WGS_MTYJ_mrna.BV898_00149.1	Hduj_1_149
Hduj_gnl_WGS_MTYJ_mrna.BV898_00150.1	Hduj_1_150
Hduj_gnl_WGS_MTYJ_mrna.BV898_00151.1	Hduj_1_151
Hduj_gnl_WGS_MTYJ_mrna.BV898_00152.1	Hduj_1_152
