Spom_SPAC2F7.14c.1	Spom_2_226
Spom_SPAC2F7.15.1	Spom_2_227
Spom_SPAC2F7.16c.1	Spom_2_228
Spom_SPAC2F7.17.1	Spom_2_229
Spom_SPAC13A11.01c.1	Spom_2_230
Spom_SPAC13A11.02c.1	Spom_2_231
Spom_SPAC13A11.03.1	Spom_2_232
Spom_SPAC13A11.04c.1	Spom_2_233
Spom_SPAC13A11.05.1	Spom_2_234
Spom_SPAC13A11.06.1	Spom_2_235
Spom_SPAC3H8.02.1	Spom_2_236
Spom_SPAC3H8.03.1	Spom_2_237
Spom_SPAC3H8.04.1	Spom_2_238
Spom_SPAC3H8.05c.1	Spom_2_239
Spom_SPAC3H8.06.1	Spom_2_240
Spom_SPAC3H8.07c.1	Spom_2_241
Spom_SPAC3H8.08c.1	Spom_2_242
Spom_SPAC3H8.09c.1	Spom_2_243
Spom_SPAC3H8.10.1	Spom_2_244
Spom_SPAC1F3.01.1	Spom_2_245
Spom_SPAC1F3.02c.1	Spom_2_246
Spom_SPAC1F3.03.1	Spom_2_247
Spom_SPAC1F3.04c.1	Spom_2_248
Spom_SPAC1F3.05.1	Spom_2_249
Spom_SPAC1F3.06c.1	Spom_2_250
Spom_SPAC1F3.07c.1	Spom_2_251
Spom_SPAC1F3.08c.1	Spom_2_252
Spom_SPAC1F3.09.1	Spom_2_253
Spom_SPAC1F3.10c.1	Spom_2_254
Spom_SPAC1D4.01.1	Spom_2_255
Spom_SPAC1D4.02c.1	Spom_2_256
Spom_SPAC1D4.03c.1	Spom_2_257
Spom_SPAC1D4.05c.1	Spom_2_258
Spom_SPAC1D4.04.1	Spom_2_259
Spom_SPAC1D4.06c.1	Spom_2_260
Spom_SPAC1D4.07c.1	Spom_2_261
Spom_SPAC1D4.08.1	Spom_2_262
Spom_SPAC1D4.09c.1	Spom_2_263
Spom_SPAC1D4.10.1	Spom_2_264
Spom_SPAC1D4.11c.1	Spom_2_265
Spom_SPAC1D4.12.1	Spom_2_266
Spom_SPAC1D4.13.1	Spom_2_267
Spom_SPAC1D4.14.1	Spom_2_268
Spom_SPAC22F3.13.1	Spom_2_269
Spom_SPAC22F3.12c.1	Spom_2_270
Spom_SPAC22F3.11c.1	Spom_2_271
Spom_SPAC22F3.10c.1	Spom_2_272
Spom_SPAC22F3.09c.1	Spom_2_273
Spom_SPAC22F3.08c.1	Spom_2_274
Spom_SPAC22F3.07c.1	Spom_2_275
Spom_SPAC22F3.15.1	Spom_2_276
Spom_SPAC22F3.06c.1	Spom_2_277
Spom_SPAC22F3.05c.1	Spom_2_278
Spom_SPAC22F3.04.1	Spom_2_279
Spom_SPAC22F3.03c.1	Spom_2_280
Spom_SPAC22F3.02.1	Spom_2_281
Spom_SPAC1296.01c.1	Spom_2_282
Spom_SPAC1296.02.1	Spom_2_283
Spom_SPAC1296.03c.1	Spom_2_284
Spom_SPAC1296.04.1	Spom_2_285
Spom_SPAC1296.05c.1	Spom_2_286
Spom_SPAPJ696.01c.1	Spom_2_287
Spom_SPAC1296.06.1	Spom_2_288
Spom_SPAPJ696.02.1	Spom_2_289
Spom_SPAC22G7.01c.1	Spom_2_290
Spom_SPAC22G7.02.1	Spom_2_291
Spom_SPAC22G7.03.1	Spom_2_292
Spom_SPAC22G7.04.1	Spom_2_293
Spom_SPAC22G7.05.1	Spom_2_294
Spom_SPAC22G7.06c.1	Spom_2_295
Spom_SPAC22G7.07c.1	Spom_2_296
Spom_SPAC22G7.08.1	Spom_2_297
Spom_SPAC22G7.09c.1	Spom_2_298
Spom_SPAC22G7.10.1	Spom_2_299
Spom_SPAC22G7.11c.1	Spom_2_300
Spom_SPAC4G8.02c.1	Spom_2_301
Spom_SPAC4G8.03c.1	Spom_2_302
Spom_SPAC4G8.04.1	Spom_2_303
Spom_SPAC4G8.05.1	Spom_2_304
Spom_SPAC4G8.06c.1	Spom_2_305
Spom_SPAC4G8.07c.1	Spom_2_306
Spom_SPAC4G8.08.1	Spom_2_307
Spom_SPAC4G8.09.1	Spom_2_308
Spom_SPAC4G8.11c.1	Spom_2_309
Spom_SPAC4G8.10.1	Spom_2_310
Spom_SPAC4G8.12c.1	Spom_2_311
Spom_SPAC4G8.13c.1	Spom_2_312
Spom_SPAC16C9.01c.1	Spom_2_313
Spom_SPAC16C9.02c.1	Spom_2_314
Spom_SPAC16C9.03.1	Spom_2_315
Spom_SPAC16C9.04c.1	Spom_2_316
Spom_SPAC16C9.05.1	Spom_2_317
Spom_SPAC16C9.06c.1	Spom_2_318
Spom_SPAC16C9.07.1	Spom_2_319
Spom_SPAC2G11.02.1	Spom_2_320
Spom_SPAC2G11.03c.1	Spom_2_321
Spom_SPAC2G11.04.1	Spom_2_322
Spom_SPAC2G11.05c.1	Spom_2_323
Spom_SPAC2G11.06.1	Spom_2_324
Spom_SPAC2G11.07c.1	Spom_2_325
Spom_SPAC2G11.08c.1	Spom_2_326
Spom_SPAC2G11.09.1	Spom_2_327
Spom_SPAC2G11.10c.1	Spom_2_328
Spom_SPAC2G11.11c.1	Spom_2_329
Spom_SPAC2G11.12.1	Spom_2_330
Spom_SPAC2G11.13.1	Spom_2_331
Spom_SPAC2G11.14.1	Spom_2_332
Spom_SPAC2G11.15c.1	Spom_2_333
Spom_SPAC521.02.1	Spom_2_334
Spom_SPAC521.03.1	Spom_2_335
Spom_SPAC521.04c.1	Spom_2_336
Spom_SPAC521.05.1	Spom_2_337
Spom_SPAC23G3.01.1	Spom_2_338
Spom_SPAC23G3.02c.1	Spom_2_339
Spom_SPAC23G3.03.1	Spom_2_340
Spom_SPAC23G3.04.1	Spom_2_341
Spom_SPAC23G3.05c.1	Spom_2_342
Spom_SPAC23G3.06.1	Spom_2_343
Spom_SPAC23G3.07c.1	Spom_2_344
Spom_SPAC23G3.08c.1	Spom_2_345
Spom_SPAC23G3.09.1	Spom_2_346
Spom_SPAC23G3.10c.1	Spom_2_347
Spom_SPAC23G3.11.1	Spom_2_348
Spom_SPAC23G3.12c.1	Spom_2_349
Spom_SPAC22H12.01c.1	Spom_2_350
Spom_SPAC22H12.02.1	Spom_2_351
Spom_SPAC22H12.03.1	Spom_2_352
Spom_SPAC22H12.04c.1	Spom_2_353
Spom_SPAC22H12.05c.1	Spom_2_354
Spom_SPAC1687.01.1	Spom_2_355
Spom_SPAC1687.02.1	Spom_2_356
Spom_SPAC1687.03c.1	Spom_2_357
Spom_SPAC1687.04.1	Spom_2_358
Spom_SPAC1687.05.1	Spom_2_359
Spom_SPAC1687.06c.1	Spom_2_360
Spom_SPAC1687.07.1	Spom_2_361
Spom_SPAC1687.08.1	Spom_2_362
Spom_SPAC1687.09.1	Spom_2_363
Spom_SPAC1687.10.1	Spom_2_364
Spom_SPAC1687.11.1	Spom_2_365
Spom_SPAC1687.12c.1	Spom_2_366
Spom_SPAC1687.13c.1	Spom_2_367
Spom_SPAC1687.14c.1	Spom_2_368
Spom_SPAC1687.23c.1	Spom_2_369
Spom_SPAC1687.15.1	Spom_2_370
Spom_SPAC1687.16c.1	Spom_2_371
Spom_SPAC1687.17c.1	Spom_2_372
Spom_SPAC1687.18c.1	Spom_2_373
Spom_SPAC1687.19c.1	Spom_2_374
Spom_SPAC1687.20c.1	Spom_2_375
Spom_SPAC1687.21.1	Spom_2_376
Spom_SPAC1687.22c.1	Spom_2_377
Spom_SPAC222.03c.1	Spom_2_378
Spom_SPAC222.19.1	Spom_2_379
Spom_SPAC222.04c.1	Spom_2_380
Spom_SPAC222.05c.1	Spom_2_381
Spom_SPAC222.06.1	Spom_2_382
Spom_SPAC222.07c.1	Spom_2_383
Spom_SPAC222.08c.1	Spom_2_384
Spom_SPAC222.09.1	Spom_2_385
Spom_SPAC222.10c.1	Spom_2_386
Spom_SPAC222.11.1	Spom_2_387
Spom_SPAC222.17.1	Spom_2_388
Spom_SPAC222.12c.1	Spom_2_389
Spom_SPAC222.13c.1	Spom_2_390
Spom_SPAC222.14c.1	Spom_2_391
Spom_SPAC222.15.1	Spom_2_392
Spom_SPAC222.18.1	Spom_2_393
Spom_SPAC222.16c.1	Spom_2_394
Spom_SPAC821.03c.1	Spom_2_395
Spom_SPAC821.04c.1	Spom_2_396
Spom_SPAC821.05.1	Spom_2_397
Spom_SPAC821.06.1	Spom_2_398
Spom_SPAC821.07c.1	Spom_2_399
Spom_SPAC821.08c.1	Spom_2_400
Spom_SPAC821.09.1	Spom_2_401
Spom_SPAC821.10c.1	Spom_2_402
Spom_SPAC821.11.1	Spom_2_403
Spom_SPAC821.12.1	Spom_2_404
Spom_SPAC821.13c.1	Spom_2_405
Spom_SPAC139.01c.1	Spom_2_406
Spom_SPAC139.02c.1	Spom_2_407
Spom_SPAC139.03.1	Spom_2_408
Spom_SPAC139.04c.1	Spom_2_409
Spom_SPAC139.05.1	Spom_2_410
Spom_SPAC139.06.1	Spom_2_411
Spom_SPAC23C4.02.1	Spom_2_412
Spom_SPAC23C4.03.1	Spom_2_413
Spom_SPAC23C4.04c.1	Spom_2_414
Spom_SPAC23C4.05c.1	Spom_2_415
Spom_SPAC23C4.07.1	Spom_2_416
Spom_SPAC23C4.06c.1	Spom_2_417
Spom_SPAC23C4.08.1	Spom_2_418
Spom_SPAC23C4.09c.1	Spom_2_419
Spom_SPAC23C4.10.1	Spom_2_420
Spom_SPAC23C4.11.1	Spom_2_421
Spom_SPAC23C4.12.1	Spom_2_422
Spom_SPAC23C4.13.1	Spom_2_423
Spom_SPAC23C4.14.1	Spom_2_424
Spom_SPAC23C4.15.1	Spom_2_425
Spom_SPAC23C4.16c.1	Spom_2_426
Spom_SPAC23C4.17.1	Spom_2_427
Spom_SPAC23C4.18c.1	Spom_2_428
Spom_SPAC23C4.19.1	Spom_2_429
Spom_SPAC1A6.01c.1	Spom_2_430
Spom_SPAC1A6.02.1	Spom_2_431
Spom_SPAC1A6.03c.1	Spom_2_432
Spom_SPAC1A6.11.1	Spom_2_433
Spom_SPAC1A6.04c.1	Spom_2_434
Spom_SPAC1A6.05c.1	Spom_2_435
Spom_SPAC1A6.06c.1	Spom_2_436
Spom_SPAC1A6.07.1	Spom_2_437
Spom_SPAC1A6.08c.1	Spom_2_438
Spom_SPAC1A6.09c.1	Spom_2_439
Spom_SPAC1A6.10.1	Spom_2_440
Spom_SPAC30D11.14c.1	Spom_2_441
Spom_SPAC30D11.13.1	Spom_2_442
Spom_SPAC30D11.12.1	Spom_2_443
Spom_SPAC30D11.11.1	Spom_2_444
Spom_SPAC30D11.10.1	Spom_2_445
Spom_SPAC30D11.09.1	Spom_2_446
Spom_SPAC30D11.08c.1	Spom_2_447
Spom_SPAC30D11.07.1	Spom_2_448
Spom_SPAC30D11.06c.1	Spom_2_449
Spom_SPAC30D11.05.1	Spom_2_450
Spom_SPAC30D11.04c.1	Spom_2_451
Spom_SPAC30D11.03.1	Spom_2_452
Spom_SPAC30D11.02c.1	Spom_2_453
Spom_SPAC30D11.01c.1	Spom_2_454
Spom_SPAC56F8.02.1	Spom_2_455
Spom_SPAC56F8.03.1	Spom_2_456
Spom_SPAC56F8.04c.1	Spom_2_457
Spom_SPAC56F8.05c.1	Spom_2_458
Spom_SPAC56F8.06c.1	Spom_2_459
Spom_SPAC56F8.07.1	Spom_2_460
Spom_SPAC56F8.08.1	Spom_2_461
Spom_SPAC56F8.09.1	Spom_2_462
Spom_SPAC56F8.10.1	Spom_2_463
Spom_SPAC56F8.11.1	Spom_2_464
Spom_SPAC56F8.12.1	Spom_2_465
Spom_SPAC56F8.14c.1	Spom_2_466
Spom_SPAC56F8.13.1	Spom_2_467
Spom_SPAC56F8.15.1	Spom_2_468
Spom_SPAC56F8.16.1	Spom_2_469
Spom_SPAC22A12.01c.1	Spom_2_470
Spom_SPAC22A12.02c.1	Spom_2_471
Spom_SPAC22A12.03c.1	Spom_2_472
Spom_SPAC22A12.04c.1	Spom_2_473
Spom_SPAC22A12.05.1	Spom_2_474
Spom_SPAC22A12.06c.1	Spom_2_475
Spom_SPAC22A12.07c.1	Spom_2_476
Spom_SPAC22A12.08c.1	Spom_2_477
Spom_SPAC22A12.10.1	Spom_2_478
Spom_SPAC22A12.09c.1	Spom_2_479
Spom_SPAC22A12.11.1	Spom_2_480
Spom_SPAC22A12.12c.1	Spom_2_481
Spom_SPAC22A12.13.1	Spom_2_482
Spom_SPAC22A12.14c.1	Spom_2_483
Spom_SPAC22A12.15c.1	Spom_2_484
Spom_SPAC22A12.17c.1	Spom_2_485
Spom_SPAC22A12.16.1	Spom_2_486
Spom_SPAC4C5.01.1	Spom_2_487
Spom_SPAC4C5.02c.1	Spom_2_488
Spom_SPAC4C5.03.1	Spom_2_489
Spom_SPAC4C5.04.1	Spom_2_490
Spom_SPAC10F6.01c.1	Spom_2_491
Spom_SPAC10F6.02c.1	Spom_2_492
Spom_SPAC10F6.03c.1	Spom_2_493
Spom_SPAC10F6.04.1	Spom_2_494
Spom_SPAC10F6.05c.1	Spom_2_495
Spom_SPAC10F6.06.1	Spom_2_496
Spom_SPAC10F6.07c.1	Spom_2_497
Spom_SPAC10F6.08c.1	Spom_2_498
Spom_SPAC10F6.09c.1	Spom_2_499
Spom_SPAC10F6.10.1	Spom_2_500
Spom_SPAC10F6.11c.1	Spom_2_501
Spom_SPAC10F6.12c.1	Spom_2_502
Spom_SPAC10F6.13c.1	Spom_2_503
Spom_SPAC10F6.14c.1	Spom_2_504
Spom_SPAC10F6.15.1	Spom_2_505
Spom_SPAC10F6.16.1	Spom_2_506
Spom_SPAC10F6.17c.1	Spom_2_507
Spom_SPAC56E4.02c.1	Spom_2_508
Spom_SPAC56E4.03.1	Spom_2_509
Spom_SPAC56E4.04c.1	Spom_2_510
Spom_SPAC56E4.05.1	Spom_2_511
Spom_SPAC56E4.07.1	Spom_2_512
Spom_SPAC56E4.06c.1	Spom_2_513
Spom_SPAC1420.01c.1	Spom_2_514
Spom_SPAC1420.02c.1	Spom_2_515
Spom_SPAC1420.03.1	Spom_2_516
Spom_SPAC1420.04c.1	Spom_2_517
Spom_SPAPB17E12.02.1	Spom_2_518
Spom_SPAPB17E12.03.1	Spom_2_519
Spom_SPAPB17E12.04c.1	Spom_2_520
Spom_SPAPB17E12.05.1	Spom_2_521
Spom_SPAPB17E12.06.1	Spom_2_522
Spom_SPAPB17E12.07c.1	Spom_2_523
Spom_SPAPB17E12.08.1	Spom_2_524
Spom_SPAPB17E12.10c.1	Spom_2_525
Spom_SPAPB17E12.09.1	Spom_2_526
Spom_SPAPB17E12.11.1	Spom_2_527
Spom_SPAPB17E12.12c.1	Spom_2_528
Spom_SPAPB17E12.14c.1	Spom_2_529
Spom_SPAPB17E12.13.1	Spom_2_530
Spom_SPAC1565.01.1	Spom_2_531
Spom_SPAC1565.02c.1	Spom_2_532
Spom_SPAC1565.03.1	Spom_2_533
Spom_SPAC1565.04c.1	Spom_2_534
Spom_SPAC1565.05.1	Spom_2_535
Spom_SPAC1565.06c.1	Spom_2_536
Spom_SPAC1565.07c.1	Spom_2_537
Spom_SPAC1565.08.1	Spom_2_538
Spom_SPAC6F12.02.1	Spom_2_539
Spom_SPAC6F12.03c.1	Spom_2_540
Spom_SPAC6F12.04.1	Spom_2_541
Spom_SPAC6F12.05c.1	Spom_2_542
Spom_SPAC6F12.06.1	Spom_2_543
Spom_SPAC6F12.07.1	Spom_2_544
Spom_SPAC6F12.08c.1	Spom_2_545
Spom_SPAC6F12.09.1	Spom_2_546
Spom_SPAC6F12.10c.1	Spom_2_547
Spom_SPAC6F12.11c.1	Spom_2_548
Spom_SPAC6F12.12.1	Spom_2_549
Spom_SPAC6F12.13c.1	Spom_2_550
Spom_SPAC6F12.14.1	Spom_2_551
Spom_SPAC6F12.15c.1	Spom_2_552
Spom_SPAC6F12.16c.1	Spom_2_553
Spom_SPAC6F12.17.1	Spom_2_554
Spom_SPAC19E9.01c.1	Spom_2_555
Spom_SPAC19E9.02.1	Spom_2_556
Spom_SPAC19E9.03.1	Spom_2_557
Spom_SPAC57A10.02.1	Spom_2_558
Spom_SPAC57A10.03.1	Spom_2_559
Spom_SPAC57A10.04.1	Spom_2_560
Spom_SPAC57A10.14.1	Spom_2_561
Spom_SPAC57A10.05c.1	Spom_2_562
Spom_SPAC57A10.06.1	Spom_2_563
Spom_SPAC57A10.07.1	Spom_2_564
Spom_SPAC57A10.08c.1	Spom_2_565
Spom_SPAC57A10.09c.1	Spom_2_566
Spom_SPAC57A10.10c.1	Spom_2_567
Spom_SPAC57A10.11c.1	Spom_2_568
Spom_SPAC57A10.12c.1	Spom_2_569
Spom_SPAC20G8.01.1	Spom_2_570
Spom_SPAC20G8.02.1	Spom_2_571
Spom_SPAC20G8.03.1	Spom_2_572
Spom_SPAC20G8.04c.1	Spom_2_573
Spom_SPAC20G8.05c.1	Spom_2_574
Spom_SPAC20G8.06.1	Spom_2_575
Spom_SPAC20G8.07c.1	Spom_2_576
