Tetwil_g25135.t2	Tetwil_2_9
Tetwil_g25136.t2	Tetwil_2_10
Tetwil_g25137.t1	Tetwil_2_11
Tetwil_g25138.t1	Tetwil_2_12
Tetwil_g25139.t1	Tetwil_2_13
Tetwil_g25140.t1	Tetwil_2_14
Tetwil_g25141.t1	Tetwil_2_15
Tetwil_g25142.t2	Tetwil_2_16
Tetwil_g25143.t1	Tetwil_2_17
Tetwil_g25144.t1	Tetwil_2_18
Tetwil_g25145.t2	Tetwil_2_19
Tetwil_g25146.t1	Tetwil_2_20
Tetwil_g25147.t1	Tetwil_2_21
Tetwil_g25148.t1	Tetwil_2_22
Tetwil_g25149.t1	Tetwil_2_23
Tetwil_g25150.t1	Tetwil_2_24
Tetwil_g25151.t1	Tetwil_2_25
Tetwil_g25152.t1	Tetwil_2_26
Tetwil_g25153.t1	Tetwil_2_27
Tetwil_g25154.t1	Tetwil_2_28
Tetwil_g25155.t2	Tetwil_2_29
Tetwil_g25156.t1	Tetwil_2_30
Tetwil_g25157.t2	Tetwil_2_31
Tetwil_g25158.t2	Tetwil_2_32
Tetwil_g25159.t1	Tetwil_2_33
Tetwil_g25160.t1	Tetwil_2_34
Tetwil_g25161.t1	Tetwil_2_35
Tetwil_g25162.t2	Tetwil_2_36
Tetwil_g25163.t1	Tetwil_2_37
Tetwil_g25164.t1	Tetwil_2_38
Tetwil_g25165.t1	Tetwil_2_39
Tetwil_g25166.t1	Tetwil_2_40
Tetwil_g25167.t1	Tetwil_2_41
Tetwil_g25168.t2	Tetwil_2_42
Tetwil_g25169.t1	Tetwil_2_43
Tetwil_g25170.t2	Tetwil_2_44
Tetwil_g25171.t2	Tetwil_2_45
Tetwil_g25172.t2	Tetwil_2_46
Tetwil_g25173.t1	Tetwil_2_47
Tetwil_g25174.t1	Tetwil_2_48
Tetwil_g25175.t2	Tetwil_2_49
Tetwil_g25176.t1	Tetwil_2_50
Tetwil_g25177.t1	Tetwil_2_51
Tetwil_g25178.t1	Tetwil_2_52
Tetwil_g25179.t2	Tetwil_2_53
Tetwil_g25180.t2	Tetwil_2_54
Tetwil_g25181.t1	Tetwil_2_55
Tetwil_g25182.t1	Tetwil_2_56
Tetwil_g25183.t1	Tetwil_2_57
Tetwil_g25184.t1	Tetwil_2_58
Tetwil_g25185.t2	Tetwil_2_59
Tetwil_g25186.t2	Tetwil_2_60
Tetwil_g25187.t1	Tetwil_2_61
Tetwil_g25188.t1	Tetwil_2_62
Tetwil_g25189.t2	Tetwil_2_63
Tetwil_g25190.t1	Tetwil_2_64
Tetwil_g25191.t1	Tetwil_2_65
Tetwil_g25192.t1	Tetwil_2_66
Tetwil_g25193.t2	Tetwil_2_67
Tetwil_g25194.t1	Tetwil_2_68
Tetwil_g25195.t1	Tetwil_2_69
Tetwil_g25196.t1	Tetwil_2_70
Tetwil_g25197.t1	Tetwil_2_71
Tetwil_g25198.t1	Tetwil_2_72
Tetwil_g25199.t1	Tetwil_2_73
Tetwil_g25200.t1	Tetwil_2_74
Tetwil_g25201.t1	Tetwil_2_75
Tetwil_g25202.t1	Tetwil_2_76
Tetwil_g25203.t1	Tetwil_2_77
Tetwil_g25204.t2	Tetwil_2_78
Tetwil_g25205.t1	Tetwil_2_79
Tetwil_g25206.t1	Tetwil_2_80
Tetwil_g25207.t1	Tetwil_2_81
Tetwil_g23020.t1	Tetwil_3_1
Tetwil_g23021.t1	Tetwil_3_2
Tetwil_g23022.t2	Tetwil_3_3
Tetwil_g23023.t1	Tetwil_3_4
Tetwil_g23024.t1	Tetwil_3_5
Tetwil_g23025.t1	Tetwil_3_6
Tetwil_g23026.t2	Tetwil_3_7
Tetwil_g23027.t1	Tetwil_3_8
Tetwil_g23028.t2	Tetwil_3_9
Tetwil_g23029.t1	Tetwil_3_10
Tetwil_g23030.t2	Tetwil_3_11
Tetwil_g23031.t1	Tetwil_3_12
Tetwil_g23032.t2	Tetwil_3_13
Tetwil_g23033.t1	Tetwil_3_14
Tetwil_g23034.t1	Tetwil_3_15
Tetwil_g23035.t1	Tetwil_3_16
Tetwil_g23036.t1	Tetwil_3_17
Tetwil_g23037.t1	Tetwil_3_18
Tetwil_g23038.t2	Tetwil_3_19
Tetwil_g23039.t2	Tetwil_3_20
Tetwil_g23040.t1	Tetwil_3_21
Tetwil_g23041.t1	Tetwil_3_22
Tetwil_g23042.t1	Tetwil_3_23
Tetwil_g23043.t2	Tetwil_3_24
Tetwil_g23044.t1	Tetwil_3_25
Tetwil_g23045.t1	Tetwil_3_26
Tetwil_g23046.t1	Tetwil_3_27
Tetwil_g23047.t1	Tetwil_3_28
Tetwil_g23048.t2	Tetwil_3_29
Tetwil_g23049.t1	Tetwil_3_30
Tetwil_g23050.t1	Tetwil_3_31
Tetwil_g23051.t1	Tetwil_3_32
Tetwil_g23052.t1	Tetwil_3_33
Tetwil_g23053.t1	Tetwil_3_34
Tetwil_g23054.t1	Tetwil_3_35
Tetwil_g23055.t2	Tetwil_3_36
Tetwil_g23056.t2	Tetwil_3_37
Tetwil_g23057.t1	Tetwil_3_38
Tetwil_g23058.t1	Tetwil_3_39
Tetwil_g23059.t1	Tetwil_3_40
Tetwil_g23060.t1	Tetwil_3_41
Tetwil_g23061.t1	Tetwil_3_42
Tetwil_g23062.t1	Tetwil_3_43
Tetwil_g23063.t1	Tetwil_3_44
Tetwil_g23064.t1	Tetwil_3_45
Tetwil_g23065.t2	Tetwil_3_46
Tetwil_g23066.t1	Tetwil_3_47
Tetwil_g23067.t2	Tetwil_3_48
Tetwil_g23068.t2	Tetwil_3_49
Tetwil_g23069.t1	Tetwil_3_50
Tetwil_g23070.t1	Tetwil_3_51
Tetwil_g23071.t2	Tetwil_3_52
Tetwil_g23072.t1	Tetwil_3_53
Tetwil_g23073.t1	Tetwil_3_54
Tetwil_g23074.t1	Tetwil_3_55
Tetwil_g23075.t1	Tetwil_3_56
Tetwil_g23076.t1	Tetwil_3_57
Tetwil_g23077.t2	Tetwil_3_58
Tetwil_g23078.t1	Tetwil_3_59
Tetwil_g23079.t2	Tetwil_3_60
Tetwil_g23080.t2	Tetwil_3_61
Tetwil_g23081.t1	Tetwil_3_62
