Porpur_gnl_WGS_VRMN_mrna.FVE85_5238	Porpur_1_183
Porpur_gnl_WGS_VRMN_mrna.FVE85_5239	Porpur_1_184
Porpur_gnl_WGS_VRMN_mrna.FVE85_5240	Porpur_1_185
Porpur_gnl_WGS_VRMN_mrna.FVE85_5241	Porpur_1_186
Porpur_gnl_WGS_VRMN_mrna.FVE85_5242	Porpur_1_187
Porpur_gnl_WGS_VRMN_mrna.FVE85_5243	Porpur_1_188
Porpur_gnl_WGS_VRMN_mrna.FVE85_5244	Porpur_1_189
Porpur_gnl_WGS_VRMN_mrna.FVE85_5245	Porpur_1_190
Porpur_gnl_WGS_VRMN_mrna.FVE85_5246	Porpur_1_191
Porpur_gnl_WGS_VRMN_mrna.FVE85_5247	Porpur_1_192
Porpur_gnl_WGS_VRMN_mrna.FVE85_5248	Porpur_1_193
Porpur_gnl_WGS_VRMN_mrna.FVE85_5249	Porpur_1_194
Porpur_gnl_WGS_VRMN_mrna.FVE85_5250	Porpur_1_195
Porpur_gnl_WGS_VRMN_mrna.FVE85_5251	Porpur_1_196
Porpur_gnl_WGS_VRMN_mrna.FVE85_5252	Porpur_1_197
Porpur_gnl_WGS_VRMN_mrna.FVE85_5253	Porpur_1_198
Porpur_gnl_WGS_VRMN_mrna.FVE85_5254	Porpur_1_199
Porpur_gnl_WGS_VRMN_mrna.FVE85_5255	Porpur_1_200
Porpur_gnl_WGS_VRMN_mrna.FVE85_5256	Porpur_1_201
Porpur_gnl_WGS_VRMN_mrna.FVE85_5257	Porpur_1_202
Porpur_gnl_WGS_VRMN_mrna.FVE85_5258	Porpur_1_203
Porpur_gnl_WGS_VRMN_mrna.FVE85_5259	Porpur_1_204
Porpur_gnl_WGS_VRMN_mrna.FVE85_5260	Porpur_1_205
Porpur_gnl_WGS_VRMN_mrna.FVE85_5261	Porpur_1_206
Porpur_gnl_WGS_VRMN_mrna.FVE85_5262	Porpur_1_207
Porpur_gnl_WGS_VRMN_mrna.FVE85_5263	Porpur_1_208
Porpur_gnl_WGS_VRMN_mrna.FVE85_5264	Porpur_1_209
Porpur_gnl_WGS_VRMN_mrna.FVE85_5265	Porpur_1_210
Porpur_gnl_WGS_VRMN_mrna.FVE85_5266	Porpur_1_211
Porpur_gnl_WGS_VRMN_mrna.FVE85_5267	Porpur_1_212
Porpur_gnl_WGS_VRMN_mrna.FVE85_5268	Porpur_1_213
Porpur_gnl_WGS_VRMN_mrna.FVE85_5269	Porpur_1_214
Porpur_gnl_WGS_VRMN_mrna.FVE85_5270	Porpur_1_215
Porpur_gnl_WGS_VRMN_mrna.FVE85_5271	Porpur_1_216
Porpur_gnl_WGS_VRMN_mrna.FVE85_5272	Porpur_1_217
Porpur_gnl_WGS_VRMN_mrna.FVE85_5273	Porpur_1_218
Porpur_gnl_WGS_VRMN_mrna.FVE85_5274	Porpur_1_219
Porpur_gnl_WGS_VRMN_mrna.FVE85_5275	Porpur_1_220
Porpur_gnl_WGS_VRMN_mrna.FVE85_5276	Porpur_1_221
Porpur_gnl_WGS_VRMN_mrna.FVE85_5277	Porpur_1_222
Porpur_gnl_WGS_VRMN_mrna.FVE85_5278	Porpur_1_223
Porpur_gnl_WGS_VRMN_mrna.FVE85_5279	Porpur_1_224
Porpur_gnl_WGS_VRMN_mrna.FVE85_5280	Porpur_1_225
Porpur_gnl_WGS_VRMN_mrna.FVE85_5281	Porpur_1_226
Porpur_gnl_WGS_VRMN_mrna.FVE85_5282	Porpur_1_227
Porpur_gnl_WGS_VRMN_mrna.FVE85_5283	Porpur_1_228
Porpur_gnl_WGS_VRMN_mrna.FVE85_5284	Porpur_1_229
Porpur_gnl_WGS_VRMN_mrna.FVE85_5285	Porpur_1_230
Porpur_gnl_WGS_VRMN_mrna.FVE85_5286	Porpur_1_231
Porpur_gnl_WGS_VRMN_mrna.FVE85_5287	Porpur_1_232
Porpur_gnl_WGS_VRMN_mrna.FVE85_5288	Porpur_1_233
Porpur_gnl_WGS_VRMN_mrna.FVE85_5289	Porpur_1_234
Porpur_gnl_WGS_VRMN_mrna.FVE85_5290	Porpur_1_235
Porpur_gnl_WGS_VRMN_mrna.FVE85_5291	Porpur_1_236
Porpur_gnl_WGS_VRMN_mrna.FVE85_5292	Porpur_1_237
Porpur_gnl_WGS_VRMN_mrna.FVE85_5293	Porpur_1_238
Porpur_gnl_WGS_VRMN_mrna.FVE85_5294	Porpur_1_239
Porpur_gnl_WGS_VRMN_mrna.FVE85_5295	Porpur_1_240
Porpur_gnl_WGS_VRMN_mrna.FVE85_5296	Porpur_1_241
Porpur_gnl_WGS_VRMN_mrna.FVE85_5297	Porpur_1_242
Porpur_gnl_WGS_VRMN_mrna.FVE85_5298	Porpur_1_243
Porpur_gnl_WGS_VRMN_mrna.FVE85_5299	Porpur_1_244
Porpur_gnl_WGS_VRMN_mrna.FVE85_5300	Porpur_1_245
Porpur_gnl_WGS_VRMN_mrna.FVE85_5301	Porpur_1_246
Porpur_gnl_WGS_VRMN_mrna.FVE85_5302	Porpur_1_247
Porpur_gnl_WGS_VRMN_mrna.FVE85_5303	Porpur_1_248
Porpur_gnl_WGS_VRMN_mrna.FVE85_5304	Porpur_1_249
Porpur_gnl_WGS_VRMN_mrna.FVE85_5305	Porpur_1_250
Porpur_gnl_WGS_VRMN_mrna.FVE85_5306	Porpur_1_251
Porpur_gnl_WGS_VRMN_mrna.FVE85_5307	Porpur_1_252
Porpur_gnl_WGS_VRMN_mrna.FVE85_5308	Porpur_1_253
Porpur_gnl_WGS_VRMN_mrna.FVE85_5309	Porpur_1_254
Porpur_gnl_WGS_VRMN_mrna.FVE85_5310	Porpur_1_255
Porpur_gnl_WGS_VRMN_mrna.FVE85_5311	Porpur_1_256
Porpur_gnl_WGS_VRMN_mrna.FVE85_5312	Porpur_1_257
Porpur_gnl_WGS_VRMN_mrna.FVE85_5313	Porpur_1_258
Porpur_gnl_WGS_VRMN_mrna.FVE85_5314	Porpur_1_259
Porpur_gnl_WGS_VRMN_mrna.FVE85_5315	Porpur_1_260
Porpur_gnl_WGS_VRMN_mrna.FVE85_5316	Porpur_1_261
Porpur_gnl_WGS_VRMN_mrna.FVE85_5317	Porpur_1_262
Porpur_gnl_WGS_VRMN_mrna.FVE85_5318	Porpur_1_263
Porpur_gnl_WGS_VRMN_mrna.FVE85_5319	Porpur_1_264
Porpur_gnl_WGS_VRMN_mrna.FVE85_5320	Porpur_1_265
Porpur_gnl_WGS_VRMN_mrna.FVE85_5321	Porpur_1_266
Porpur_gnl_WGS_VRMN_mrna.FVE85_5322	Porpur_1_267
Porpur_gnl_WGS_VRMN_mrna.FVE85_5323	Porpur_1_268
Porpur_gnl_WGS_VRMN_mrna.FVE85_5324	Porpur_1_269
Porpur_gnl_WGS_VRMN_mrna.FVE85_5325	Porpur_1_270
Porpur_gnl_WGS_VRMN_mrna.FVE85_5326	Porpur_1_271
Porpur_gnl_WGS_VRMN_mrna.FVE85_5327	Porpur_1_272
Porpur_gnl_WGS_VRMN_mrna.FVE85_5328	Porpur_1_273
Porpur_gnl_WGS_VRMN_mrna.FVE85_5329	Porpur_1_274
Porpur_gnl_WGS_VRMN_mrna.FVE85_5330	Porpur_1_275
Porpur_gnl_WGS_VRMN_mrna.FVE85_5331	Porpur_1_276
Porpur_gnl_WGS_VRMN_mrna.FVE85_5332	Porpur_1_277
Porpur_gnl_WGS_VRMN_mrna.FVE85_5333	Porpur_1_278
Porpur_gnl_WGS_VRMN_mrna.FVE85_5334	Porpur_1_279
Porpur_gnl_WGS_VRMN_mrna.FVE85_5335	Porpur_1_280
Porpur_gnl_WGS_VRMN_mrna.FVE85_5336	Porpur_1_281
Porpur_gnl_WGS_VRMN_mrna.FVE85_5337	Porpur_1_282
Porpur_gnl_WGS_VRMN_mrna.FVE85_5338	Porpur_1_283
Porpur_gnl_WGS_VRMN_mrna.FVE85_5339	Porpur_1_284
Porpur_gnl_WGS_VRMN_mrna.FVE85_5340	Porpur_1_285
Porpur_gnl_WGS_VRMN_mrna.FVE85_5341	Porpur_1_286
Porpur_gnl_WGS_VRMN_mrna.FVE85_5342	Porpur_1_287
Porpur_gnl_WGS_VRMN_mrna.FVE85_5343	Porpur_1_288
Porpur_gnl_WGS_VRMN_mrna.FVE85_5344	Porpur_1_289
Porpur_gnl_WGS_VRMN_mrna.FVE85_5345	Porpur_1_290
Porpur_gnl_WGS_VRMN_mrna.FVE85_5346	Porpur_1_291
Porpur_gnl_WGS_VRMN_mrna.FVE85_5347	Porpur_1_292
Porpur_gnl_WGS_VRMN_mrna.FVE85_5348	Porpur_1_293
Porpur_gnl_WGS_VRMN_mrna.FVE85_5349	Porpur_1_294
Porpur_gnl_WGS_VRMN_mrna.FVE85_5350	Porpur_1_295
Porpur_gnl_WGS_VRMN_mrna.FVE85_5351	Porpur_1_296
Porpur_gnl_WGS_VRMN_mrna.FVE85_5352	Porpur_1_297
Porpur_gnl_WGS_VRMN_mrna.FVE85_5353	Porpur_1_298
Porpur_gnl_WGS_VRMN_mrna.FVE85_5354	Porpur_1_299
Porpur_gnl_WGS_VRMN_mrna.FVE85_5355	Porpur_1_300
Porpur_gnl_WGS_VRMN_mrna.FVE85_5356	Porpur_1_301
Porpur_gnl_WGS_VRMN_mrna.FVE85_5357	Porpur_1_302
Porpur_gnl_WGS_VRMN_mrna.FVE85_5358	Porpur_1_303
Porpur_gnl_WGS_VRMN_mrna.FVE85_5359	Porpur_1_304
Porpur_gnl_WGS_VRMN_mrna.FVE85_5360	Porpur_1_305
Porpur_gnl_WGS_VRMN_mrna.FVE85_5361	Porpur_1_306
Porpur_gnl_WGS_VRMN_mrna.FVE85_5362	Porpur_1_307
Porpur_gnl_WGS_VRMN_mrna.FVE85_5363	Porpur_1_308
Porpur_gnl_WGS_VRMN_mrna.FVE85_5364	Porpur_1_309
Porpur_gnl_WGS_VRMN_mrna.FVE85_5365	Porpur_1_310
Porpur_gnl_WGS_VRMN_mrna.FVE85_5366	Porpur_1_311
Porpur_gnl_WGS_VRMN_mrna.FVE85_5367	Porpur_1_312
Porpur_gnl_WGS_VRMN_mrna.FVE85_5368	Porpur_1_313
Porpur_gnl_WGS_VRMN_mrna.FVE85_5369	Porpur_1_314
Porpur_gnl_WGS_VRMN_mrna.FVE85_5370	Porpur_1_315
Porpur_gnl_WGS_VRMN_mrna.FVE85_5371	Porpur_1_316
Porpur_gnl_WGS_VRMN_mrna.FVE85_5372	Porpur_1_317
Porpur_gnl_WGS_VRMN_mrna.FVE85_5373	Porpur_1_318
Porpur_gnl_WGS_VRMN_mrna.FVE85_5374	Porpur_1_319
Porpur_gnl_WGS_VRMN_mrna.FVE85_5375	Porpur_1_320
Porpur_gnl_WGS_VRMN_mrna.FVE85_5376	Porpur_1_321
Porpur_gnl_WGS_VRMN_mrna.FVE85_5377	Porpur_1_322
