Scer_YBL085W_mRNA	Scer_2_33
Scer_YBL084C_mRNA	Scer_2_34
Scer_YBL083C_mRNA	Scer_2_35
Scer_YBL082C_mRNA	Scer_2_36
Scer_YBL081W_mRNA	Scer_2_37
Scer_YBL080C_mRNA	Scer_2_38
Scer_YBL079W_mRNA	Scer_2_39
Scer_YBL078C_mRNA	Scer_2_40
Scer_YBL077W_mRNA	Scer_2_41
Scer_YBL076C_mRNA	Scer_2_42
Scer_YBL075C_mRNA	Scer_2_43
Scer_YBL074C_mRNA	Scer_2_44
Scer_YBL073W_mRNA	Scer_2_45
Scer_YBL072C_mRNA	Scer_2_46
Scer_YBL071C-B_mRNA	Scer_2_47
Scer_YBL071W-A_mRNA	Scer_2_48
Scer_YBL071C_mRNA	Scer_2_49
Scer_YBL070C_mRNA	Scer_2_50
Scer_YBL069W_mRNA	Scer_2_51
Scer_YBL068W-A_mRNA	Scer_2_52
Scer_YBL068W_mRNA	Scer_2_53
Scer_YBL067C_mRNA	Scer_2_54
Scer_YBL066C_mRNA	Scer_2_55
Scer_YBL065W_mRNA	Scer_2_56
Scer_YBL064C_mRNA	Scer_2_57
Scer_YBL063W_mRNA	Scer_2_58
Scer_YBL062W_mRNA	Scer_2_59
Scer_YBL061C_mRNA	Scer_2_60
Scer_YBL060W_mRNA	Scer_2_61
Scer_YBL059C-A_mRNA	Scer_2_62
Scer_YBL059W_mRNA	Scer_2_63
Scer_YBL058W_mRNA	Scer_2_64
Scer_YBL057C_mRNA	Scer_2_65
Scer_YBL056W_mRNA	Scer_2_66
Scer_YBL055C_mRNA	Scer_2_67
Scer_YBL054W_mRNA	Scer_2_68
Scer_YBL053W_mRNA	Scer_2_69
Scer_YBL052C_mRNA	Scer_2_70
Scer_YBL051C_mRNA	Scer_2_71
Scer_YBL050W_mRNA	Scer_2_72
Scer_YBL049W_mRNA	Scer_2_73
Scer_YBL048W_mRNA	Scer_2_74
Scer_YBL047C_mRNA	Scer_2_75
Scer_YBL046W_mRNA	Scer_2_76
Scer_YBL045C_mRNA	Scer_2_77
Scer_YBL044W_mRNA	Scer_2_78
Scer_YBL043W_mRNA	Scer_2_79
Scer_YBL042C_mRNA	Scer_2_80
Scer_YBL041W_mRNA	Scer_2_81
Scer_YBL040C_mRNA	Scer_2_82
Scer_YBL039W-B_mRNA	Scer_2_83
Scer_YBL039C_mRNA	Scer_2_84
Scer_YBL039C-A_mRNA	Scer_2_85
Scer_YBL038W_mRNA	Scer_2_86
Scer_YBL037W_mRNA	Scer_2_87
Scer_YBL036C_mRNA	Scer_2_88
Scer_YBL035C_mRNA	Scer_2_89
Scer_YBL034C_mRNA	Scer_2_90
Scer_YBL033C_mRNA	Scer_2_91
Scer_YBL032W_mRNA	Scer_2_92
Scer_YBL031W_mRNA	Scer_2_93
Scer_YBL030C_mRNA	Scer_2_94
Scer_YBL029C-A_mRNA	Scer_2_95
Scer_YBL029W_mRNA	Scer_2_96
Scer_YBL028C_mRNA	Scer_2_97
Scer_YBL027W_mRNA	Scer_2_98
Scer_YBL026W_mRNA	Scer_2_99
Scer_YBL025W_mRNA	Scer_2_100
Scer_YBL024W_mRNA	Scer_2_101
Scer_YBL023C_mRNA	Scer_2_102
Scer_YBL022C_mRNA	Scer_2_103
Scer_YBL021C_mRNA	Scer_2_104
Scer_YBL020W_mRNA	Scer_2_105
Scer_YBL019W_mRNA	Scer_2_106
Scer_YBL018C_mRNA	Scer_2_107
Scer_YBL017C_mRNA	Scer_2_108
Scer_YBL016W_mRNA	Scer_2_109
Scer_YBL015W_mRNA	Scer_2_110
Scer_YBL014C_mRNA	Scer_2_111
Scer_YBL013W_mRNA	Scer_2_112
Scer_YBL012C_mRNA	Scer_2_113
Scer_YBL011W_mRNA	Scer_2_114
Scer_YBL010C_mRNA	Scer_2_115
Scer_YBL009W_mRNA	Scer_2_116
Scer_YBL008W-A_mRNA	Scer_2_117
Scer_YBL008W_mRNA	Scer_2_118
Scer_YBL007C_mRNA	Scer_2_119
Scer_YBL006C_mRNA	Scer_2_120
Scer_YBL006W-A_mRNA	Scer_2_121
Scer_YBL005W_mRNA	Scer_2_122
Scer_YBL004W_mRNA	Scer_2_123
Scer_YBL003C_mRNA	Scer_2_124
Scer_YBL002W_mRNA	Scer_2_125
Scer_YBL001C_mRNA	Scer_2_126
Scer_YBR001C_mRNA	Scer_2_127
Scer_YBR002C_mRNA	Scer_2_128
Scer_YBR003W_mRNA	Scer_2_129
Scer_YBR004C_mRNA	Scer_2_130
Scer_YBR005W_mRNA	Scer_2_131
Scer_YBR006W_mRNA	Scer_2_132
Scer_YBR007C_mRNA	Scer_2_133
Scer_YBR008C_mRNA	Scer_2_134
Scer_YBR009C_mRNA	Scer_2_135
Scer_YBR010W_mRNA	Scer_2_136
Scer_YBR011C_mRNA	Scer_2_137
Scer_YBR012C_mRNA	Scer_2_138
Scer_YBR013C_mRNA	Scer_2_139
Scer_YBR014C_mRNA	Scer_2_140
Scer_YBR015C_mRNA	Scer_2_141
Scer_YBR016W_mRNA	Scer_2_142
Scer_YBR017C_mRNA	Scer_2_143
Scer_YBR018C_mRNA	Scer_2_144
Scer_YBR019C_mRNA	Scer_2_145
Scer_YBR020W_mRNA	Scer_2_146
Scer_YBR021W_mRNA	Scer_2_147
Scer_YBR022W_mRNA	Scer_2_148
Scer_YBR023C_mRNA	Scer_2_149
Scer_YBR024W_mRNA	Scer_2_150
Scer_YBR025C_mRNA	Scer_2_151
Scer_YBR026C_mRNA	Scer_2_152
Scer_YBR027C_mRNA	Scer_2_153
Scer_YBR028C_mRNA	Scer_2_154
Scer_YBR029C_mRNA	Scer_2_155
Scer_YBR030W_mRNA	Scer_2_156
Scer_YBR031W_mRNA	Scer_2_157
Scer_YBR032W_mRNA	Scer_2_158
Scer_YBR033W_mRNA	Scer_2_159
Scer_YBR034C_mRNA	Scer_2_160
Scer_YBR035C_mRNA	Scer_2_161
Scer_YBR036C_mRNA	Scer_2_162
Scer_YBR037C_mRNA	Scer_2_163
Scer_YBR038W_mRNA	Scer_2_164
Scer_YBR039W_mRNA	Scer_2_165
Scer_YBR040W_mRNA	Scer_2_166
Scer_YBR041W_mRNA	Scer_2_167
Scer_YBR042C_mRNA	Scer_2_168
Scer_YBR043C_mRNA	Scer_2_169
Scer_YBR044C_mRNA	Scer_2_170
Scer_YBR045C_mRNA	Scer_2_171
Scer_YBR046C_mRNA	Scer_2_172
Scer_YBR047W_mRNA	Scer_2_173
Scer_YBR048W_mRNA	Scer_2_174
Scer_YBR049C_mRNA	Scer_2_175
Scer_YBR050C_mRNA	Scer_2_176
Scer_YBR051W_mRNA	Scer_2_177
Scer_YBR052C_mRNA	Scer_2_178
Scer_YBR053C_mRNA	Scer_2_179
Scer_YBR054W_mRNA	Scer_2_180
Scer_YBR055C_mRNA	Scer_2_181
Scer_YBR056W_mRNA	Scer_2_182
Scer_YBR056W-A_mRNA	Scer_2_183
Scer_YBR056C-B_mRNA	Scer_2_184
Scer_YBR057C_mRNA	Scer_2_185
Scer_YBR058C_mRNA	Scer_2_186
Scer_YBR058C-A_mRNA	Scer_2_187
Scer_YBR059C_mRNA	Scer_2_188
Scer_YBR060C_mRNA	Scer_2_189
Scer_YBR061C_mRNA	Scer_2_190
Scer_YBR062C_mRNA	Scer_2_191
Scer_YBR063C_mRNA	Scer_2_192
Scer_YBR064W_mRNA	Scer_2_193
Scer_YBR065C_mRNA	Scer_2_194
Scer_YBR066C_mRNA	Scer_2_195
Scer_YBR067C_mRNA	Scer_2_196
Scer_YBR068C_mRNA	Scer_2_197
Scer_YBR069C_mRNA	Scer_2_198
Scer_YBR070C_mRNA	Scer_2_199
Scer_YBR071W_mRNA	Scer_2_200
Scer_YBR072W_mRNA	Scer_2_201
Scer_YBR072C-A_mRNA	Scer_2_202
Scer_YBR073W_mRNA	Scer_2_203
Scer_YBR074W_mRNA	Scer_2_204
Scer_YBR076W_mRNA	Scer_2_205
Scer_YBR076C-A_mRNA	Scer_2_206
Scer_YBR077C_mRNA	Scer_2_207
Scer_YBR078W_mRNA	Scer_2_208
Scer_YBR079C_mRNA	Scer_2_209
Scer_YBR080C_mRNA	Scer_2_210
Scer_YBR081C_mRNA	Scer_2_211
Scer_YBR082C_mRNA	Scer_2_212
Scer_YBR083W_mRNA	Scer_2_213
Scer_YBR084W_mRNA	Scer_2_214
Scer_YBR084C-A_mRNA	Scer_2_215
Scer_YBR085W_mRNA	Scer_2_216
Scer_YBR085C-A_mRNA	Scer_2_217
Scer_YBR086C_mRNA	Scer_2_218
Scer_YBR087W_mRNA	Scer_2_219
Scer_YBR088C_mRNA	Scer_2_220
Scer_YBR089W_mRNA	Scer_2_221
Scer_YBR089C-A_mRNA	Scer_2_222
Scer_YBR090C_mRNA	Scer_2_223
Scer_YBR091C_mRNA	Scer_2_224
Scer_YBR092C_mRNA	Scer_2_225
Scer_YBR093C_mRNA	Scer_2_226
Scer_YBR094W_mRNA	Scer_2_227
Scer_YBR095C_mRNA	Scer_2_228
Scer_YBR096W_mRNA	Scer_2_229
Scer_YBR097W_mRNA	Scer_2_230
Scer_YBR098W_mRNA	Scer_2_231
Scer_YBR099C_mRNA	Scer_2_232
Scer_YBR101C_mRNA	Scer_2_233
Scer_YBR102C_mRNA	Scer_2_234
Scer_YBR103W_mRNA	Scer_2_235
Scer_YBR103C-A_mRNA	Scer_2_236
Scer_YBR104W_mRNA	Scer_2_237
Scer_YBR105C_mRNA	Scer_2_238
Scer_YBR106W_mRNA	Scer_2_239
Scer_YBR107C_mRNA	Scer_2_240
Scer_YBR108W_mRNA	Scer_2_241
Scer_YBR109C_mRNA	Scer_2_242
Scer_YBR109W-A_mRNA	Scer_2_243
Scer_YBR110W_mRNA	Scer_2_244
Scer_YBR111C_mRNA	Scer_2_245
Scer_YBR111W-A_mRNA	Scer_2_246
Scer_YBR112C_mRNA	Scer_2_247
Scer_YBR113W_mRNA	Scer_2_248
Scer_YBR114W_mRNA	Scer_2_249
Scer_YBR115C_mRNA	Scer_2_250
Scer_YBR116C_mRNA	Scer_2_251
Scer_YBR117C_mRNA	Scer_2_252
Scer_YBR118W_mRNA	Scer_2_253
Scer_YBR119W_mRNA	Scer_2_254
Scer_YBR120C_mRNA	Scer_2_255
Scer_YBR121C_mRNA	Scer_2_256
Scer_YBR121C-A_mRNA	Scer_2_257
Scer_YBR122C_mRNA	Scer_2_258
Scer_YBR123C_mRNA	Scer_2_259
Scer_YBR124W_mRNA	Scer_2_260
Scer_YBR125C_mRNA	Scer_2_261
Scer_YBR126C_mRNA	Scer_2_262
Scer_YBR126W-A_mRNA	Scer_2_263
Scer_YBR126W-B_mRNA	Scer_2_264
Scer_YBR127C_mRNA	Scer_2_265
Scer_YBR128C_mRNA	Scer_2_266
Scer_YBR129C_mRNA	Scer_2_267
Scer_YBR130C_mRNA	Scer_2_268
Scer_YBR131W_mRNA	Scer_2_269
Scer_YBR131C-A_mRNA	Scer_2_270
Scer_YBR132C_mRNA	Scer_2_271
Scer_YBR133C_mRNA	Scer_2_272
Scer_YBR134W_mRNA	Scer_2_273
Scer_YBR135W_mRNA	Scer_2_274
Scer_YBR136W_mRNA	Scer_2_275
Scer_YBR137W_mRNA	Scer_2_276
Scer_YBR138C_mRNA	Scer_2_277
Scer_YBR139W_mRNA	Scer_2_278
Scer_YBR140C_mRNA	Scer_2_279
Scer_YBR141C_mRNA	Scer_2_280
Scer_YBR141W-A_mRNA	Scer_2_281
Scer_YBR142W_mRNA	Scer_2_282
Scer_YBR143C_mRNA	Scer_2_283
Scer_YBR144C_mRNA	Scer_2_284
Scer_YBR145W_mRNA	Scer_2_285
Scer_YBR146W_mRNA	Scer_2_286
Scer_YBR147W_mRNA	Scer_2_287
Scer_YBR148W_mRNA	Scer_2_288
Scer_YBR149W_mRNA	Scer_2_289
Scer_YBR150C_mRNA	Scer_2_290
Scer_YBR151W_mRNA	Scer_2_291
Scer_YBR152W_mRNA	Scer_2_292
Scer_YBR153W_mRNA	Scer_2_293
Scer_YBR154C_mRNA	Scer_2_294
Scer_YBR155W_mRNA	Scer_2_295
Scer_YBR156C_mRNA	Scer_2_296
Scer_YBR157C_mRNA	Scer_2_297
Scer_YBR158W_mRNA	Scer_2_298
Scer_YBR159W_mRNA	Scer_2_299
Scer_YBR160W_mRNA	Scer_2_300
Scer_YBR161W_mRNA	Scer_2_301
Scer_YBR162C_mRNA	Scer_2_302
Scer_YBR162W-A_mRNA	Scer_2_303
Scer_YBR163W_mRNA	Scer_2_304
Scer_YBR164C_mRNA	Scer_2_305
Scer_YBR165W_mRNA	Scer_2_306
Scer_YBR166C_mRNA	Scer_2_307
Scer_YBR167C_mRNA	Scer_2_308
Scer_YBR168W_mRNA	Scer_2_309
Scer_YBR169C_mRNA	Scer_2_310
Scer_YBR170C_mRNA	Scer_2_311
Scer_YBR171W_mRNA	Scer_2_312
Scer_YBR172C_mRNA	Scer_2_313
Scer_YBR173C_mRNA	Scer_2_314
Scer_YBR174C_mRNA	Scer_2_315
Scer_YBR175W_mRNA	Scer_2_316
Scer_YBR176W_mRNA	Scer_2_317
Scer_YBR177C_mRNA	Scer_2_318
Scer_YBR178W_mRNA	Scer_2_319
Scer_YBR179C_mRNA	Scer_2_320
Scer_YBR180W_mRNA	Scer_2_321
Scer_YBR181C_mRNA	Scer_2_322
Scer_YBR182C_mRNA	Scer_2_323
Scer_YBR182C-A_mRNA	Scer_2_324
