Ncra_EAA34752	Ncra_1_312
Ncra_EAA34751	Ncra_1_313
Ncra_ESA43817	Ncra_1_314
Ncra_EAA34748	Ncra_1_315
Ncra_EAA34492	Ncra_1_316
Ncra_EAA34491	Ncra_1_317
Ncra_ESA43819	Ncra_1_318
Ncra_EAA34533	Ncra_1_319
Ncra_EAA34532	Ncra_1_320
Ncra_EAA34531	Ncra_1_321
Ncra_EAA34530	Ncra_1_322
Ncra_EDO65469	Ncra_1_323
Ncra_EAA35376	Ncra_1_324
Ncra_EAA35375	Ncra_1_325
Ncra_EAA35374	Ncra_1_326
Ncra_EAA35373	Ncra_1_327
Ncra_EAA35372	Ncra_1_328
Ncra_EDO65468	Ncra_1_329
Ncra_EAA35371	Ncra_1_330
Ncra_EAA35370	Ncra_1_331
Ncra_EAA35369	Ncra_1_332
Ncra_EAA35368	Ncra_1_333
Ncra_EAA35367	Ncra_1_334
Ncra_EAA35366	Ncra_1_335
Ncra_EAA35365	Ncra_1_336
Ncra_EAA35364	Ncra_1_337
Ncra_EAA35362	Ncra_1_338
Ncra_EAA35361	Ncra_1_339
Ncra_ESA43820	Ncra_1_340
Ncra_ESA43821	Ncra_1_341
Ncra_ESA43823	Ncra_1_342
Ncra_EAA35358	Ncra_1_343
Ncra_EDO65467	Ncra_1_344
Ncra_EAA35357	Ncra_1_345
Ncra_EAA35356	Ncra_1_346
Ncra_EAA35355	Ncra_1_347
Ncra_EAA34783	Ncra_1_348
Ncra_EAA34782	Ncra_1_349
Ncra_EAA34781	Ncra_1_350
Ncra_EAA34780	Ncra_1_351
Ncra_EAA34779	Ncra_1_352
Ncra_EAA34778	Ncra_1_353
Ncra_ESA43825	Ncra_1_354
Ncra_EAA34776	Ncra_1_355
Ncra_EAA34775	Ncra_1_356
Ncra_EAA34774	Ncra_1_357
Ncra_EAA34773	Ncra_1_358
Ncra_ESA43826	Ncra_1_359
Ncra_EDO65466	Ncra_1_360
Ncra_EAA35437	Ncra_1_361
Ncra_EAA35435	Ncra_1_362
Ncra_EAA35434	Ncra_1_363
Ncra_EAA35432	Ncra_1_364
Ncra_EAA35430	Ncra_1_365
Ncra_EAA35429	Ncra_1_366
Ncra_EAA35428	Ncra_1_367
Ncra_EAA35427	Ncra_1_368
Ncra_EAA35426	Ncra_1_369
Ncra_EAA35425	Ncra_1_370
Ncra_EAA35424	Ncra_1_371
Ncra_EAA35423	Ncra_1_372
Ncra_EAA35422	Ncra_1_373
Ncra_EAA35421	Ncra_1_374
Ncra_ESA43828	Ncra_1_375
Ncra_EAA35419	Ncra_1_376
Ncra_EAA35418	Ncra_1_377
Ncra_EAA35417	Ncra_1_378
Ncra_EAA35416	Ncra_1_379
Ncra_EAA35415	Ncra_1_380
Ncra_EAA35414	Ncra_1_381
Ncra_EAA35413	Ncra_1_382
Ncra_EAA35412	Ncra_1_383
Ncra_EAA35411	Ncra_1_384
Ncra_EAA35410	Ncra_1_385
Ncra_EAA35409	Ncra_1_386
Ncra_EAA35408	Ncra_1_387
Ncra_EAA35407	Ncra_1_388
Ncra_EAA35649	Ncra_1_389
Ncra_EAA35648	Ncra_1_390
Ncra_EAA35647	Ncra_1_391
Ncra_EAA35646	Ncra_1_392
Ncra_EAA35645	Ncra_1_393
Ncra_EAA35644	Ncra_1_394
Ncra_EAA35643	Ncra_1_395
Ncra_EAA35642	Ncra_1_396
Ncra_EAA35641	Ncra_1_397
Ncra_EAA35640	Ncra_1_398
Ncra_EAA35639	Ncra_1_399
Ncra_EAA35638	Ncra_1_400
Ncra_EAA35637	Ncra_1_401
Ncra_EAA35636	Ncra_1_402
Ncra_EAA35635	Ncra_1_403
Ncra_EAA35634	Ncra_1_404
Ncra_EAA35633	Ncra_1_405
Ncra_EAA35632	Ncra_1_406
Ncra_EAA35631	Ncra_1_407
Ncra_EAA35630	Ncra_1_408
Ncra_EAA35629	Ncra_1_409
Ncra_EAA35628	Ncra_1_410
Ncra_EAA35627	Ncra_1_411
Ncra_EAA35626	Ncra_1_412
Ncra_EAA35625	Ncra_1_413
Ncra_EAA35624	Ncra_1_414
Ncra_ESA43829	Ncra_1_415
Ncra_EAA35622	Ncra_1_416
Ncra_EAA35621	Ncra_1_417
Ncra_EAA35620	Ncra_1_418
Ncra_EAA35619	Ncra_1_419
Ncra_EAA35618	Ncra_1_420
Ncra_EAA35617	Ncra_1_421
Ncra_EAA35616	Ncra_1_422
Ncra_ESA43831	Ncra_1_423
Ncra_EAA35113	Ncra_1_424
Ncra_EAA35112	Ncra_1_425
Ncra_ESA43832	Ncra_1_426
Ncra_EAA35110	Ncra_1_427
Ncra_EAA35109	Ncra_1_428
Ncra_EAA35108	Ncra_1_429
Ncra_EAA35107	Ncra_1_430
Ncra_EAA35106	Ncra_1_431
Ncra_ESA43834	Ncra_1_432
Ncra_ESA43836	Ncra_1_433
Ncra_EAA35103	Ncra_1_434
Ncra_EAA35102	Ncra_1_435
Ncra_EAA35101	Ncra_1_436
Ncra_EAA35100	Ncra_1_437
Ncra_EAA35099	Ncra_1_438
Ncra_EAA35098	Ncra_1_439
Ncra_EAA35097	Ncra_1_440
Ncra_EAA35096	Ncra_1_441
Ncra_EAA35095	Ncra_1_442
Ncra_ESA43839	Ncra_1_443
Ncra_EAA35093	Ncra_1_444
Ncra_EAA35092	Ncra_1_445
Ncra_EAA35091	Ncra_1_446
Ncra_ESA43841	Ncra_1_447
Ncra_ESA43843	Ncra_1_448
