Morvir_scaffold1.g346.t1	Morvir_1_346
Morvir_scaffold1.g347.t1	Morvir_1_347
Morvir_scaffold1.g348.t1	Morvir_1_348
Morvir_scaffold1.g349.t1	Morvir_1_349
Morvir_scaffold1.g350.t1	Morvir_1_350
Morvir_scaffold1.g351.t1	Morvir_1_351
Morvir_scaffold1.g352.t1	Morvir_1_352
Morvir_scaffold1.g353.t1	Morvir_1_353
Morvir_scaffold1.g354.t1	Morvir_1_354
Morvir_scaffold1.g355.t1	Morvir_1_355
Morvir_scaffold1.g356.t1	Morvir_1_356
Morvir_scaffold1.g357.t1	Morvir_1_357
Morvir_scaffold1.g358.t1	Morvir_1_358
Morvir_scaffold1.g359.t3	Morvir_1_359
Morvir_scaffold1.g360.t1	Morvir_1_360
Morvir_scaffold1.g361.t2	Morvir_1_361
Morvir_scaffold1.g362.t1	Morvir_1_362
Morvir_scaffold1.g363.t1	Morvir_1_363
Morvir_scaffold1.g364.t1	Morvir_1_364
Morvir_scaffold1.g365.t1	Morvir_1_365
Morvir_scaffold1.g366.t1	Morvir_1_366
Morvir_scaffold1.g367.t2	Morvir_1_367
Morvir_scaffold1.g368.t1	Morvir_1_368
Morvir_scaffold1.g369.t1	Morvir_1_369
Morvir_scaffold1.g370.t1	Morvir_1_370
Morvir_scaffold1.g371.t1	Morvir_1_371
Morvir_scaffold1.g372.t1	Morvir_1_372
Morvir_scaffold1.g373.t1	Morvir_1_373
Morvir_scaffold1.g374.t1	Morvir_1_374
Morvir_scaffold1.g375.t1	Morvir_1_375
Morvir_scaffold1.g376.t1	Morvir_1_376
Morvir_scaffold1.g377.t1	Morvir_1_377
Morvir_scaffold1.g378.t1	Morvir_1_378
Morvir_scaffold1.g379.t1	Morvir_1_379
Morvir_scaffold1.g380.t1	Morvir_1_380
Morvir_scaffold10.g1.t1	Morvir_2_1
Morvir_scaffold10.g2.t1	Morvir_2_2
Morvir_scaffold10.g3.t1	Morvir_2_3
Morvir_scaffold10.g4.t1	Morvir_2_4
Morvir_scaffold10.g5.t1	Morvir_2_5
Morvir_scaffold10.g6.t1	Morvir_2_6
Morvir_scaffold10.g7.t1	Morvir_2_7
Morvir_scaffold10.g8.t2	Morvir_2_8
Morvir_scaffold10.g9.t1	Morvir_2_9
Morvir_scaffold10.g10.t1	Morvir_2_10
Morvir_scaffold10.g11.t2	Morvir_2_11
Morvir_scaffold10.g12.t1	Morvir_2_12
Morvir_scaffold10.g13.t1	Morvir_2_13
Morvir_scaffold10.g14.t1	Morvir_2_14
Morvir_scaffold10.g15.t1	Morvir_2_15
Morvir_scaffold10.g16.t1	Morvir_2_16
Morvir_scaffold10.g17.t1	Morvir_2_17
Morvir_scaffold10.g18.t1	Morvir_2_18
Morvir_scaffold10.g19.t1	Morvir_2_19
Morvir_scaffold10.g20.t1	Morvir_2_20
Morvir_scaffold10.g21.t1	Morvir_2_21
Morvir_scaffold10.g22.t1	Morvir_2_22
Morvir_scaffold10.g23.t1	Morvir_2_23
Morvir_scaffold10.g24.t1	Morvir_2_24
Morvir_scaffold10.g25.t1	Morvir_2_25
Morvir_scaffold10.g26.t1	Morvir_2_26
Morvir_scaffold10.g27.t1	Morvir_2_27
Morvir_scaffold10.g28.t1	Morvir_2_28
Morvir_scaffold10.g29.t1	Morvir_2_29
Morvir_scaffold10.g30.t1	Morvir_2_30
Morvir_scaffold10.g31.t1	Morvir_2_31
Morvir_scaffold10.g32.t1	Morvir_2_32
Morvir_scaffold10.g33.t1	Morvir_2_33
Morvir_scaffold10.g34.t1	Morvir_2_34
Morvir_scaffold10.g35.t1	Morvir_2_35
Morvir_scaffold10.g36.t1	Morvir_2_36
Morvir_scaffold10.g37.t1	Morvir_2_37
Morvir_scaffold10.g38.t1	Morvir_2_38
Morvir_scaffold10.g39.t1	Morvir_2_39
Morvir_scaffold10.g40.t1	Morvir_2_40
Morvir_scaffold10.g41.t1	Morvir_2_41
Morvir_scaffold10.g42.t1	Morvir_2_42
Morvir_scaffold10.g43.t1	Morvir_2_43
Morvir_scaffold10.g44.t1	Morvir_2_44
Morvir_scaffold10.g45.t1	Morvir_2_45
Morvir_scaffold10.g46.t1	Morvir_2_46
Morvir_scaffold10.g47.t1	Morvir_2_47
Morvir_scaffold10.g48.t1	Morvir_2_48
Morvir_scaffold10.g49.t1	Morvir_2_49
Morvir_scaffold10.g50.t2	Morvir_2_50
Morvir_scaffold10.g51.t1	Morvir_2_51
Morvir_scaffold10.g52.t1	Morvir_2_52
Morvir_scaffold10.g53.t1	Morvir_2_53
Morvir_scaffold10.g54.t1	Morvir_2_54
Morvir_scaffold10.g55.t1	Morvir_2_55
Morvir_scaffold10.g56.t1	Morvir_2_56
Morvir_scaffold10.g57.t1	Morvir_2_57
Morvir_scaffold10.g58.t1	Morvir_2_58
Morvir_scaffold10.g59.t3	Morvir_2_59
Morvir_scaffold10.g60.t1	Morvir_2_60
Morvir_scaffold10.g61.t1	Morvir_2_61
Morvir_scaffold10.g62.t1	Morvir_2_62
Morvir_scaffold10.g63.t1	Morvir_2_63
Morvir_scaffold10.g64.t1	Morvir_2_64
Morvir_scaffold10.g65.t1	Morvir_2_65
Morvir_scaffold10.g66.t1	Morvir_2_66
Morvir_scaffold10.g67.t1	Morvir_2_67
Morvir_scaffold10.g68.t1	Morvir_2_68
Morvir_scaffold10.g69.t1	Morvir_2_69
Morvir_scaffold10.g70.t1	Morvir_2_70
Morvir_scaffold10.g71.t1	Morvir_2_71
Morvir_scaffold10.g72.t1	Morvir_2_72
Morvir_scaffold10.g73.t1	Morvir_2_73
Morvir_scaffold10.g74.t1	Morvir_2_74
Morvir_scaffold10.g75.t2	Morvir_2_75
Morvir_scaffold10.g76.t1	Morvir_2_76
Morvir_scaffold10.g77.t1	Morvir_2_77
Morvir_scaffold10.g78.t1	Morvir_2_78
Morvir_scaffold10.g79.t1	Morvir_2_79
Morvir_scaffold10.g80.t1	Morvir_2_80
Morvir_scaffold10.g81.t1	Morvir_2_81
Morvir_scaffold10.g82.t1	Morvir_2_82
Morvir_scaffold10.g83.t1	Morvir_2_83
Morvir_scaffold10.g84.t1	Morvir_2_84
Morvir_scaffold10.g85.t1	Morvir_2_85
Morvir_scaffold10.g86.t1	Morvir_2_86
Morvir_scaffold10.g87.t1	Morvir_2_87
Morvir_scaffold10.g88.t1	Morvir_2_88
Morvir_scaffold10.g89.t1	Morvir_2_89
Morvir_scaffold10.g90.t1	Morvir_2_90
Morvir_scaffold10.g91.t1	Morvir_2_91
Morvir_scaffold10.g92.t1	Morvir_2_92
Morvir_scaffold10.g93.t1	Morvir_2_93
Morvir_scaffold10.g94.t1	Morvir_2_94
Morvir_scaffold10.g95.t1	Morvir_2_95
Morvir_scaffold10.g96.t1	Morvir_2_96
Morvir_scaffold10.g97.t1	Morvir_2_97
Morvir_scaffold10.g98.t1	Morvir_2_98
Morvir_scaffold10.g99.t1	Morvir_2_99
Morvir_scaffold10.g100.t1	Morvir_2_100
Morvir_scaffold10.g101.t1	Morvir_2_101
Morvir_scaffold10.g102.t1	Morvir_2_102
Morvir_scaffold10.g103.t1	Morvir_2_103
Morvir_scaffold10.g104.t1	Morvir_2_104
Morvir_scaffold10.g105.t1	Morvir_2_105
Morvir_scaffold10.g106.t1	Morvir_2_106
Morvir_scaffold10.g107.t1	Morvir_2_107
Morvir_scaffold10.g108.t1	Morvir_2_108
Morvir_scaffold10.g109.t1	Morvir_2_109
Morvir_scaffold10.g110.t1	Morvir_2_110
Morvir_scaffold10.g111.t1	Morvir_2_111
Morvir_scaffold10.g112.t1	Morvir_2_112
Morvir_scaffold10.g113.t1	Morvir_2_113
Morvir_scaffold10.g114.t3	Morvir_2_114
Morvir_scaffold10.g115.t1	Morvir_2_115
Morvir_scaffold10.g116.t1	Morvir_2_116
Morvir_scaffold10.g117.t1	Morvir_2_117
Morvir_scaffold10.g118.t1	Morvir_2_118
Morvir_scaffold10.g119.t1	Morvir_2_119
Morvir_scaffold10.g120.t1	Morvir_2_120
Morvir_scaffold10.g121.t1	Morvir_2_121
Morvir_scaffold10.g122.t1	Morvir_2_122
Morvir_scaffold10.g123.t1	Morvir_2_123
Morvir_scaffold10.g124.t1	Morvir_2_124
Morvir_scaffold10.g125.t1	Morvir_2_125
Morvir_scaffold10.g126.t1	Morvir_2_126
Morvir_scaffold10.g127.t1	Morvir_2_127
Morvir_scaffold10.g128.t1	Morvir_2_128
Morvir_scaffold10.g129.t1	Morvir_2_129
Morvir_scaffold10.g130.t1	Morvir_2_130
Morvir_scaffold10.g131.t1	Morvir_2_131
Morvir_scaffold10.g132.t1	Morvir_2_132
Morvir_scaffold10.g133.t1	Morvir_2_133
Morvir_scaffold10.g134.t1	Morvir_2_134
Morvir_scaffold10.g135.t2	Morvir_2_135
Morvir_scaffold100.g1.t1	Morvir_3_1
Morvir_scaffold100.g2.t1	Morvir_3_2
Morvir_scaffold100.g3.t1	Morvir_3_3
Morvir_scaffold100.g4.t1	Morvir_3_4
Morvir_scaffold100.g5.t1	Morvir_3_5
Morvir_scaffold100.g6.t1	Morvir_3_6
Morvir_scaffold100.g7.t1	Morvir_3_7
Morvir_scaffold100.g8.t1	Morvir_3_8
Morvir_scaffold100.g9.t1	Morvir_3_9
Morvir_scaffold100.g10.t1	Morvir_3_10
Morvir_scaffold100.g11.t1	Morvir_3_11
Morvir_scaffold100.g12.t1	Morvir_3_12
Morvir_scaffold100.g13.t1	Morvir_3_13
Morvir_scaffold100.g14.t1	Morvir_3_14
Morvir_scaffold100.g15.t1	Morvir_3_15
Morvir_scaffold100.g16.t1	Morvir_3_16
Morvir_scaffold100.g17.t1	Morvir_3_17
Morvir_scaffold100.g18.t1	Morvir_3_18
Morvir_scaffold100.g19.t1	Morvir_3_19
Morvir_scaffold100.g20.t1	Morvir_3_20
Morvir_scaffold100.g21.t1	Morvir_3_21
Morvir_scaffold100.g22.t1	Morvir_3_22
Morvir_scaffold100.g23.t1	Morvir_3_23
