Atha_AT2G34410.3	RWA3
Atha_AT2G34410.1	RWA3
Atha_AT2G34410.2	RWA3
Atha_AT1G32340.1	NHL8
Atha_AT2G30390.2	FC2
Atha_AT2G30390.1	FC2
Atha_AT5G23070.1	TK1B
Atha_AT4G39370.2	UBP27
Atha_AT4G39370.3	UBP27
Atha_AT4G39370.1	UBP27
Atha_AT1G15770.1	MED15B
Atha_AT1G69170.1	SPL6
Atha_AT5G58310.1	MES18
Atha_AT4G39350.1	CESA2
Atha_AT1G54115.1	CCX4
Atha_AT5G46410.2	SSP4
Atha_AT5G46410.1	SSP4
Atha_AT5G46410.3	SSP4
Atha_AT3G61113.1	URM1-2
Atha_AT3G46120.1	PAP19
Atha_AT1G75250.1	ATRL6
Atha_AT1G75250.2	ATRL6
Atha_AT5G46370.1	TPK2
Atha_AT1G45130.2	BGAL5
Atha_AT1G45130.1	BGAL5
Atha_AT4G04510.2	CRK38
Atha_AT4G04510.1	CRK38
Atha_AT1G30010.1	NMAT1
Atha_AT3G55710.1	UGT76F2
Atha_AT2G40170.1	EM6
Atha_AT3G03830.1	SAUR28
Atha_AT5G40250.1	ATL46
Atha_AT1G43780.1	SCPL44
Atha_AT1G72370.2	RPSAA
Atha_AT1G72370.1	RPSAA
Atha_AT4G39410.1	WRKY13
Atha_AT1G80480.1	PTAC17
Atha_AT3G10920.2	MSD1
Atha_AT3G10920.1	MSD1
Atha_AT5G51300.3	SF1
Atha_AT5G51300.2	SF1
Atha_AT5G51300.1	SF1
Atha_AT2G21045.1	HAC1
Atha_AT5G55130.1	MOCS3
Atha_AT5G55130.2	MOCS3
Atha_AT5G55130.3	MOCS3
Atha_AT1G56170.2	NFYC2
Atha_AT1G56170.1	NFYC2
Atha_AT3G50330.1	HEC2
Atha_AT3G12110.1	ACT11
Atha_AT5G05390.1	LAC12
Atha_AT3G51260.1	PAD1
Atha_AT3G51260.2	PAD1
Atha_AT4G37070.4	PLP1
Atha_AT4G37070.1	PLP1
Atha_AT4G37070.3	PLP1
Atha_AT4G37070.2	PLP1
Atha_AT1G44110.1	CYCA1-1
Atha_AT1G20640.2	NLP4
Atha_AT1G20640.3	NLP4
Atha_AT1G20640.1	NLP4
Atha_AT4G20640.1	CRRSP48
Atha_AT3G10400.1	SNRNP31
Atha_AT1G19300.1	GATL1
Atha_AT1G20700.2	WOX14
Atha_AT1G20700.3	WOX14
Atha_AT1G20700.1	WOX14
Atha_AT3G60880.1	DHDPS1
Atha_AT3G60880.2	DHDPS1
Atha_AT1G07510.1	FTSH10
Atha_AT5G49450.1	BZIP1
Atha_AT1G62760.1	PMEI10
Atha_AT4G31710.1	ATGLR2.4
Atha_AT4G31710.2	ATGLR2.4
Atha_AT1G20260.1	VHA-B3
Atha_AT5G23660.1	SWEET12
Atha_AT5G55290.1	VHA-E1
Atha_AT5G55290.3	VHA-E1
Atha_AT5G55290.2	VHA-E1
Atha_AT4G13170.1	RPL13AC
Atha_AT4G14640.1	CML8
Atha_AT4G14640.2	CML8
Atha_AT4G14640.3	CML8
Atha_AT3G55560.1	AHL15
Atha_AT1G20980.1	SPL14
Atha_AT5G62165.11	AGL42
Atha_AT5G62165.5	AGL42
Atha_AT5G62165.4	AGL42
Atha_AT5G62165.13	AGL42
Atha_AT5G62165.2	AGL42
Atha_AT5G62165.12	AGL42
Atha_AT5G62165.8	AGL42
Atha_AT5G62165.7	AGL42
Atha_AT5G62165.16	AGL42
Atha_AT5G62165.10	AGL42
Atha_AT5G62165.9	AGL42
Atha_AT5G62165.17	AGL42
Atha_AT5G62165.14	AGL42
Atha_AT5G62165.6	AGL42
Atha_AT5G62165.1	AGL42
Atha_AT5G62165.3	AGL42
Atha_AT5G62165.15	AGL42
Atha_AT3G24130.1	PME29
Atha_AT5G15740.1	OFUT34
Atha_AT1G28340.1	AtRLP4
Atha_AT1G66170.1	MMD1
Atha_AT1G74380.1	XXT5
Atha_AT2G44680.2	CKB4
