Scer_YEL070W	DSF1
Scer_YMR034C	RCH1
Scer_YJL178C	ATG27
Scer_YKL132C	RMA1
Scer_YBR286W	APE3
Scer_YDR524C-A	YDR524C-A
Scer_YGR044C	RME1
Scer_YLR057W	MNL2
Scer_YJL141C	YAK1
Scer_YPR192W	AQY1
Scer_YOR304W	ISW2
Scer_YLR009W	RLP24
Scer_YEL048C	TCA17
Scer_YLL024C	SSA2
Scer_YOR255W	OSW1
Scer_YNL141W	AAH1
Scer_YML034W	SRC1
Scer_YDR202C	RAV2
Scer_YBL091C-A	SCS22
Scer_YER099C	PRS2
Scer_YGL002W	ERP6
Scer_YMR131C	RRB1
Scer_YLL048C	YBT1
Scer_YCL067C	HMLALPHA2
Scer_YMR263W	SAP30
Scer_YCL025C	AGP1
Scer_YDL132W	CDC53
Scer_YKL186C	MTR2
Scer_YCL043C	PDI1
Scer_YOL100W	PKH2
Scer_YML031C-A	YML031C-A
Scer_YOR337W	TEA1
Scer_YDL013W	SLX5
Scer_YDR534C	FIT1
Scer_YLR157C	ASP3-2
Scer_YCR012W	PGK1
Scer_YOL086W-A	MHF1
Scer_YHR049W	FSH1
Scer_YMR113W	FOL3
Scer_YPL055C	LGE1
Scer_YBR213W	MET8
Scer_YLR226W	BUR2
Scer_YCR075C	ERS1
Scer_YDR392W	SPT3
Scer_YAL051W	OAF1
Scer_YPL079W	RPL21B
Scer_YDR178W	SDH4
Scer_YDR121W	DPB4
Scer_YJL013C	MAD3
Scer_YDL063C	SYO1
Scer_Q0060	AI3
Scer_YJL109C	UTP10
Scer_YJR155W	AAD10
Scer_YDR435C	PPM1
Scer_YDR461W	MFA1
Scer_YHR111W	UBA4
Scer_YKL072W	STB6
Scer_YKL003C	MRP17
Scer_YMR314W	PRE5
Scer_YLR070C	XYL2
Scer_YDL069C	CBS1
Scer_YBR183W	YPC1
Scer_YER026C	CHO1
Scer_YDR073W	SNF11
Scer_YDL017W	CDC7
Scer_YCR093W	CDC39
Scer_YML051W	GAL80
Scer_YLL002W	RTT109
Scer_YIL090W	ICE2
Scer_YBR050C	REG2
Scer_YMR081C	ISF1
Scer_YBL097W	BRN1
Scer_YJL049W	CHM7
Scer_YMR231W	PEP5
Scer_YBR172C	SMY2
Scer_YDR260C	SWM1
Scer_YKL165C	MCD4
Scer_YPR175W	DPB2
Scer_YLR062C	BUD28
Scer_YNL024C	EFM6
Scer_YLR305C	STT4
Scer_YNR024W	MPP6
Scer_YDL130W-A	STF1
Scer_YPR022C	SDD4
Scer_YPL161C	BEM4
Scer_YLR107W	REX3
Scer_YJR135C	MCM22
Scer_YLR139C	SLS1
Scer_YKL085W	MDH1
Scer_YDR322C-A	TIM11
Scer_YOL123W	HRP1
Scer_YCR026C	NPP1
Scer_YHR205W	SCH9
Scer_YLR038C	COX12
Scer_YCR044C	PER1
Scer_YNL160W	YGP1
Scer_YLR182W	SWI6
Scer_YJL191W	RPS14B
Scer_YDR139C	RUB1
Scer_YGL019W	CKB1
Scer_YHR183W	GND1
Scer_YLR132C	USB1
Scer_YLR064W	PER33
Scer_YER174C	GRX4
Scer_YDL043C	PRP11
Scer_YFR031C	SMC2
Scer_YGL231C	EMC4
Scer_YOR195W	SLK19
Scer_YML107C	PML39
Scer_YDL093W	PMT5
Scer_YNR035C	ARC35
Scer_YGL027C	CWH41
Scer_YBR208C	DUR1,2
Scer_YBL020W	RFT1
Scer_YGR129W	SYF2
Scer_YKR060W	UTP30
Scer_YJR141W	IPA1
Scer_YBR148W	YSW1
Scer_YBR164C	ARL1
Scer_YGR140W	CBF2
Scer_YOR305W	RRG7
Scer_YGL126W	SCS3
Scer_YGR088W	CTT1
Scer_YBR112C	CYC8
Scer_YCR047C	BUD23
Scer_YCR067C	SED4
Scer_YHR187W	IKI1
Scer_YHR005C	GPA1
Scer_YCL050C	APA1
Scer_YDR333C	RQC1
Scer_YKL045W	PRI2
Scer_YIL122W	POG1
Scer_YNL176C	TDA7
Scer_YBL019W	APN2
Scer_YKL043W	PHD1
Scer_YPL110C	GDE1
Scer_YDR527W	RBA50
Scer_YGL172W	NUP49
Scer_YER112W	LSM4
Scer_YHR079C-A	SAE3
Scer_YKR065C	PAM17
Scer_YJR054W	KCH1
Scer_YPL050C	MNN9
Scer_YGL139W	FLC3
Scer_YHR010W	RPL27A
Scer_YBR088C	POL30
Scer_YML067C	ERV41
Scer_YDR020C	DAS2
Scer_YPR158W	CUR1
Scer_YIR036C	IRC24
Scer_YDR030C	RAD28
Scer_YPL274W	SAM3
Scer_YDL067C	COX9
Scer_YMR049C	ERB1
Scer_YGL258W	VEL1
Scer_YBR055C	PRP6
Scer_YJL094C	KHA1
Scer_YGR225W	AMA1
Scer_YMR038C	CCS1
Scer_YFR033C	QCR6
Scer_YMR062C	ARG7
Scer_YJL023C	PET130
Scer_YCL014W	BUD3
Scer_YJL166W	QCR8
Scer_YJL214W	HXT8
Scer_YNL274C	GOR1
Scer_YJL126W	NIT2
Scer_YOR205C	GEP3
Scer_YNL164C	IBD2
Scer_YJR097W	JJJ3
Scer_YMR323W	ERR3
Scer_YJR070C	LIA1
Scer_YDL179W	PCL9
Scer_YBR266C	SLM6
Scer_YDL102W	POL3
Scer_YCL058C	FYV5
Scer_YMR234W	RNH1
Scer_YLR454W	FMP27
Scer_YLR212C	TUB4
Scer_YPL011C	TAF3
Scer_YJL105W	SET4
Scer_YDR182W	CDC1
Scer_YBL071W-A	KTI11
Scer_YBR269C	SDH8
Scer_YLR451W	LEU3
Scer_YHR089C	GAR1
Scer_YGR135W	PRE9
Scer_YER041W	YEN1
Scer_YDR006C	SOK1
Scer_YCL017C	NFS1
Scer_YGR070W	ROM1
Scer_YOR136W	IDH2
Scer_YER074W-A	YOS1
Scer_YPR081C	GRS2
Scer_YDR498C	SEC20
Scer_YJR104C	SOD1
