Amac_KNE56293	SNF2_N zf-RING_5
Amac_KNE56620	SNF2_N Helicase_C SLIDE
Amac_KNE58354	Chromo Chromo SNF2_N Helicase_C
Amac_KNE58612	SNF2_N
Amac_KNE58743	DUF3535 DUF3535 SNF2_N Helicase_C
Amac_KNE58803	SNF2_N Helicase_C
Amac_KNE59193	SNF2_N zf-RING_5
Amac_KNE59433	SNF2_N zf-C3HC4 Helicase_C
Amac_KNE59641	SNF2_N Helicase_C
Amac_KNE59642	SNF2_N Helicase_C
Amac_KNE60074	Helicase_C_3 ResIII ERCC3_RAD25_C
Amac_KNE61097	SNF2_N zf-C3HC4 Helicase_C
Amac_KNE61326	SNF2_N
Amac_KNE63266	Chromo SNF2_N Helicase_C
Amac_KNE63561	Rad54_N SNF2_N Helicase_C
Amac_KNE63701	DBINO SNF2_N SNF2_N SNF2_N Helicase_C
Amac_KNE64145	SNF2_N
Amac_KNE64148	SNF2_N Helicase_C
Amac_KNE64149	SNF2_N UCH UCH
Amac_KNE64526	SNF2_N
Amac_KNE64752	SNF2_N Helicase_C
Amac_KNE64883	DBINO SNF2_N Helicase_C
Amac_KNE65251	SNF2_N Helicase_C
Amac_KNE65339	Chromo Chromo SNF2_N Helicase_C DUF4208
Amac_KNE66349	SNF2_N Helicase_C
Amac_KNE66444	Chromo Chromo SNF2_N Helicase_C DUF4208
Amac_KNE67940	SNF2_N zf-RING_5
Amac_KNE67944	SNF2_N zf-RING_5
Amac_KNE68271	HSA SNF2_N Helicase_C SnAC Bromodomain
Amac_KNE69607	HSA SNF2_N Helicase_C SnAC
Amac_KNE69818	SNF2_N zf-RING_2
Amac_KNE69868	HIRAN SNF2_N zf-C3HC4_3 Helicase_C
Amac_KNE69952	Chromo SNF2_N Helicase_C
Amac_KNE70941	SNF2_N
Amac_KNE70942	SNF2_N zf-C3HC4_3
Amac_KNE71001	SNF2_N
Amac_KNE71139	SNF2_N zf-RING_2
Amac_KNE71189	SNF2_N zf-C3HC4_3
Amac_KNE71704	SNF2_N Helicase_C
Amac_KNE72550	SNF2_N
Amac_KNE72905	Chromo Chromo SNF2_N Helicase_C
Amac_KNE73041	SNF2_N zf-RING_5
Amac_KNE73044	SNF2_N
Amac_KNE73055	SNF2_N
Amac_KNE73162	SNF2_N Helicase_C
Amac_KNE73215	SNF2_N
Amobb2_AMBB2_00554.mRNA.1	SNF2_N Helicase_C Med26
Amobb2_AMBB2_00554.mRNA.2	SNF2_N Helicase_C Med26
Amobb2_AMBB2_00554.mRNA.3	SNF2_N Helicase_C Med26
Amobb2_AMBB2_00554.mRNA.5	SNF2_N Helicase_C Med26
Amobb2_AMBB2_00554.mRNA.6	SNF2_N Helicase_C Med26
