gene	name
Hsap_ENSG00000285480_AC021097	AC021097
Hsap_ENSG00000123485_HJURP	HJURP
Hsap_ENSG00000071243_ING3	ING3
Hsap_ENSG00000111653_ING4	ING4
Hsap_ENSG00000153487_ING1	ING1
Hsap_ENSG00000168395_ING5	ING5
Hsap_ENSG00000168556_ING2	ING2
Hsap_ENSG00000005339_CREBBP	CREBBP
Hsap_ENSG00000100393_EP300	EP300
Hsap_ENSG00000010803_SCMH1	SCMH1
Hsap_ENSG00000011258_MBTD1	MBTD1
Hsap_ENSG00000100395_L3MBTL2	L3MBTL2
Hsap_ENSG00000102098_SCML2	SCML2
Hsap_ENSG00000129292_PHF20L1	PHF20L1
Hsap_ENSG00000154655_L3MBTL4	L3MBTL4
Hsap_ENSG00000163935_SFMBT1	SFMBT1
Hsap_ENSG00000185513_L3MBTL1	L3MBTL1
Hsap_ENSG00000198879_SFMBT2	SFMBT2
Hsap_ENSG00000198945_L3MBTL3	L3MBTL3
Hsap_ENSG00000083168_KAT6A	KAT6A
Hsap_ENSG00000103510_KAT8	KAT8
Hsap_ENSG00000136504_KAT7	KAT7
Hsap_ENSG00000156650_KAT6B	KAT6B
Hsap_ENSG00000172977_KAT5	KAT5
Hsap_ENSG00000281813_KAT6B	KAT6B
Hsap_ENSG00000005302_MSL3	MSL3
Hsap_ENSG00000123562_MORF4L2	MORF4L2
Hsap_ENSG00000185787_MORF4L1	MORF4L1
Hsap_ENSG00000284335_AC007537	AC007537
Hsap_ENSG00000119335_SET	SET
Hsap_ENSG00000168757_TSPY2	TSPY2
Hsap_ENSG00000177432_NAP1L5	NAP1L5
Hsap_ENSG00000178021_TSPYL6	TSPYL6
Hsap_ENSG00000180543_TSPYL5	TSPYL5
Hsap_ENSG00000184205_TSPYL2	TSPYL2
Hsap_ENSG00000186310_NAP1L3	NAP1L3
Hsap_ENSG00000186462_NAP1L2	NAP1L2
Hsap_ENSG00000187109_NAP1L1	NAP1L1
Hsap_ENSG00000187189_TSPYL4	TSPYL4
Hsap_ENSG00000189241_TSPYL1	TSPYL1
Hsap_ENSG00000205531_NAP1L4	NAP1L4
Hsap_ENSG00000228927_TSPY3	TSPY3
Hsap_ENSG00000229549_TSPY8	TSPY8
Hsap_ENSG00000230667_SETSIP	SETSIP
Hsap_ENSG00000233803_TSPY4	TSPY4
Hsap_ENSG00000236424_TSPY10	TSPY10
Hsap_ENSG00000258992_TSPY1	TSPY1
Hsap_ENSG00000273562_NAP1L4	NAP1L4
Hsap_ENSG00000005483_KMT2E	KMT2E
Hsap_ENSG00000006459_KDM7A	KDM7A
Hsap_ENSG00000009954_BAZ1B	BAZ1B
Hsap_ENSG00000011332_DPF1	DPF1
Hsap_ENSG00000012817_KDM5D	KDM5D
Hsap_ENSG00000040633_PHF23	PHF23
Hsap_ENSG00000043143_JADE2	JADE2
Hsap_ENSG00000048649_RSF1	RSF1
Hsap_ENSG00000055609_KMT2C	KMT2C
Hsap_ENSG00000056487_PHF21B	PHF21B
Hsap_ENSG00000066135_KDM4A	KDM4A
Hsap_ENSG00000070047_PHRF1	PHRF1
Hsap_ENSG00000073614_KDM5A	KDM5A
Hsap_ENSG00000076108_BAZ2A	BAZ2A
Hsap_ENSG00000077684_JADE1	JADE1
Hsap_ENSG00000078403_MLLT10	MLLT10
Hsap_ENSG00000083168_KAT6A	KAT6A
Hsap_ENSG00000089094_KDM2B	KDM2B
Hsap_ENSG00000096070_BRPF3	BRPF3
Hsap_ENSG00000099364_FBXL19	FBXL19
Hsap_ENSG00000100425_BRD1	BRD1
Hsap_ENSG00000101191_DIDO1	DIDO1
Hsap_ENSG00000102221_JADE3	JADE3
Hsap_ENSG00000106443_PHF14	PHF14
Hsap_ENSG00000107077_KDM4C	KDM4C
Hsap_ENSG00000109118_PHF12	PHF12
Hsap_ENSG00000111642_CHD4	CHD4
Hsap_ENSG00000112511_PHF1	PHF1
Hsap_ENSG00000116254_CHD5	CHD5
Hsap_ENSG00000116273_PHF13	PHF13
Hsap_ENSG00000117139_KDM5B	KDM5B
Hsap_ENSG00000118058_KMT2A	KMT2A
Hsap_ENSG00000118482_PHF3	PHF3
Hsap_ENSG00000119403_PHF19	PHF19
Hsap_ENSG00000122779_TRIM24	TRIM24
Hsap_ENSG00000123636_BAZ2B	BAZ2B
Hsap_ENSG00000126012_KDM5C	KDM5C
Hsap_ENSG00000127663_KDM4B	KDM4B
Hsap_ENSG00000130024_PHF10	PHF10
Hsap_ENSG00000130726_TRIM28	TRIM28
Hsap_ENSG00000133884_DPF2	DPF2
Hsap_ENSG00000135365_PHF21A	PHF21A
Hsap_ENSG00000138785_INTS12	INTS12
Hsap_ENSG00000141431_ASXL3	ASXL3
Hsap_ENSG00000143033_MTF2	MTF2
Hsap_ENSG00000143970_ASXL2	ASXL2
Hsap_ENSG00000147854_UHRF2	UHRF2
Hsap_ENSG00000154832_CXXC1	CXXC1
Hsap_ENSG00000156650_KAT6B	KAT6B
Hsap_ENSG00000156983_BRPF1	BRPF1
Hsap_ENSG00000160224_AIRE	AIRE
