	SUV420	SMYD3	SMYD4	SMYD5	SETMAR	SETD1A	SETD1B	SETD2	SETD3	SETD4	SETD5	SETD7	SETD6	SETD8	PRD2	NSD3	EHMT	ASH1	SUV39	ATF7IP	Kmt1_HP1_Cbx1-3-5	MLL1/MLL2	Kmt2_ASH2	Kmt2_CPS40	Kmt2_CXXC1	Kmt2_Dpy30	Kmt2_Menin	Kmt2_NCOA6	Kmt2_PA1	Kmt2_PTIP	Kmt2_RBBP5	Kmt2_UTX	Kmt2_WDR5	Kmt2_WDR82	DOT1	Kmt4_AF10AF17	Kmt4_AF9ENL	Kmt4_TRRAP	EZH	Kmt6EZ_AEBP2	Kmt6EZ_CAF1C_H4-bd_Nurf55	Kmt6_EED	Kmt6EZ_VEFS-Box_Suz12	TYW5	PA24B	NO66	MINA	KDM2B/FBXL10	KDM3A/JMJD1A	KDM4C/JMJD2C	KDM5A/JARID1A	KDM6A/UTX	KDM8	JMJD4	JMJD6	JMJD8	JARID2/Jumonji	HSPBAP1	HIF1	KDM1AB/LSD1
Tpse	0	14	10	4	0	9	0	14	3	13	0	0	10	0	0	4	0	1	0	0	0	6	7	0	0	7	7	0	0	0	0	0	7	7	7	0	0	7	14	0	7	7	7	0	14	9	5	0	0	9	9	0	0	14	3	0	1	0	3	0
Pinf	0	13	1	0	0	4	0	11	10	0	3	0	0	0	0	4	0	4	0	0	0	6	0	0	0	7	0	0	0	0	0	0	7	7	7	0	0	7	14	0	7	7	7	0	14	14	14	0	0	11	9	3	14	14	13	0	1	0	3	0
Aker	0	9	10	4	3	0	1	1	3	10	0	0	10	0	0	6	4	1	0	0	0	0	0	0	0	7	0	0	0	0	0	0	7	0	7	0	0	7	5	0	7	0	0	11	14	9	11	0	0	4	9	0	14	14	13	14	1	0	0	0
Sagg	0	6	1	3	0	9	0	4	3	3	0	0	0	0	0	1	0	1	0	0	0	6	0	0	0	7	0	0	0	0	7	0	7	0	7	0	0	7	0	0	7	0	0	14	14	9	14	0	0	4	9	0	14	14	13	14	1	0	1	7
Alim	0	0	3	3	0	3	0	3	3	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	7	0	7	0	7	0	0	7	0	0	7	0	0	0	3	3	3	3	0	3	3	3	3	3	3	3	0	0	3	0
Tgon	0	3	0	3	0	1	0	4	0	0	0	0	0	14	0	1	3	1	0	0	0	9	0	0	0	7	0	0	0	0	0	0	0	0	7	0	0	7	5	0	0	0	0	14	0	4	1	0	0	0	14	0	4	3	13	0	1	0	0	0
Pfal	0	4	1	0	1	1	1	1	0	0	5	0	0	14	0	4	1	1	0	0	0	9	0	0	0	7	0	0	0	0	0	0	0	7	0	0	0	0	0	0	7	0	0	14	0	0	0	0	0	0	14	0	0	0	0	0	1	0	0	0
Ptet	0	3	0	0	0	1	0	11	5	10	0	0	0	0	0	1	0	1	5	0	0	9	0	0	0	7	0	0	0	0	0	7	7	7	7	0	0	0	13	0	7	0	0	0	0	0	0	0	0	9	9	13	0	0	13	0	1	0	0	0
Tthe	0	0	3	0	0	4	0	14	3	10	0	0	0	0	0	1	0	1	0	0	0	6	0	0	0	10	0	0	0	0	0	7	0	7	7	0	0	0	13	0	7	0	7	0	14	0	0	0	0	9	9	13	4	0	13	0	1	0	0	0
Pmar	0	6	10	1	1	1	1	0	10	0	0	0	10	0	0	0	1	0	3	0	0	9	7	0	0	7	0	0	0	0	0	0	0	7	7	0	0	0	0	0	7	0	0	0	14	6	14	0	0	0	4	0	14	14	3	0	1	0	0	0
Smin	0	3	0	3	0	0	0	0	3	0	0	3	0	0	0	0	0	0	0	0	0	3	0	0	0	7	0	0	0	0	0	0	7	0	7	0	0	0	0	0	0	0	0	0	3	3	0	0	0	0	0	0	3	3	3	3	0	0	0	0
Bnat	0	10	3	0	5	9	1	4	14	13	3	14	13	0	0	14	1	1	8	0	0	1	0	0	0	7	0	0	0	0	0	0	7	7	7	0	0	0	14	0	7	7	0	14	14	6	11	10	0	14	9	3	14	14	10	13	1	11	14	7
Rfil	0	1	1	0	3	14	0	5	3	10	0	14	0	0	0	1	3	1	11	0	0	5	0	7	0	7	0	0	0	0	0	0	7	7	7	0	0	7	14	0	7	7	7	0	11	1	14	3	0	6	14	0	14	14	0	11	1	0	9	7
