sps	KAT2_Gcn5	KAT3_p300_CBP	KAT5	KAT6_KAT7	KAT8	KAT9_Elp3	KAT10_Hap2	KAT11	DUF3591	Hat1_N	SRC1_NCOA1	SIRT1	SIRT2_SIRT3	SIRT4	SIRT5	SIRT6_SIRT7	Hos3	HDAC1	HDAC3	HDAC4	HDAC8	HDAC10	HDAC11
Tpse	14	4	0	0	13	14	0	0	0	0	0	11	9	14	10	14	0	14	1	1	11	14	13
Pinf	14	4	0	0	13	14	5	0	7	7	0	14	1	0	0	14	0	14	1	1	1	4	0
Aker	14	4	0	0	13	9	10	0	0	7	0	14	14	14	11	14	0	14	1	1	11	14	0
Sagg	14	4	0	0	13	9	10	0	7	0	0	14	14	14	14	0	0	14	1	1	11	14	0
Alim	3	4	3	0	0	3	0	0	0	7	0	4	4	4	1	0	0	4	1	1	1	4	0
Tgon	14	0	0	3	13	9	0	0	7	7	0	1	1	0	13	14	0	11	6	4	1	1	13
Pfal	14	3	3	0	10	3	0	0	0	7	0	1	1	0	13	14	0	4	6	4	1	1	0
Ptet	14	0	0	0	13	14	0	0	7	7	0	1	9	0	13	0	0	14	4	1	1	4	14
Tthe	14	3	0	0	13	14	0	0	7	7	0	1	9	0	10	14	0	14	1	1	1	4	14
Pmar	14	0	0	3	0	9	8	0	7	0	0	1	14	0	14	14	0	11	6	4	1	1	0
Smin	0	0	0	0	0	3	0	0	7	0	0	0	3	3	3	3	0	0	0	0	0	3	3
Bnat	14	0	0	0	13	9	10	0	7	7	0	11	14	14	13	14	3	14	1	1	11	14	13
Rfil	14	3	3	0	10	9	0	0	7	7	0	1	4	0	0	14	0	14	1	4	11	1	14
Ehux	14	4	0	0	3	9	5	0	7	0	0	1	14	14	10	14	0	4	1	1	1	4	3
Gthe	14	4	0	0	3	14	0	0	7	7	0	14	1	14	10	14	0	4	1	1	1	4	3
Ngru	14	0	0	0	13	14	3	0	7	7	0	1	4	10	14	14	0	14	1	4	11	11	13
Bsal	0	0	3	0	0	9	0	0	0	0	0	1	14	14	0	0	0	1	4	1	14	4	0
Tcru	5	0	0	0	3	9	0	0	0	0	0	1	14	0	14	0	0	4	1	4	1	1	0
Lmaj	0	0	3	0	0	9	5	0	0	0	0	1	14	14	14	0	0	4	1	4	6	1	0
Tvag	14	3	0	3	3	14	0	0	7	0	0	14	9	0	10	0	0	4	1	0	1	0	0
Glam	14	0	0	3	0	14	0	0	0	0	0	11	4	3	10	0	0	9	1	0	1	0	0
